,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,23.6842,9.8214,,,,,,,,,,,,18.3333,180667.0,,,,,,57.1429,12.0,10.0,83.333,1.0,9.0,75.0,
8,2008,32.4561,27.6786,,,,,,,,,,,,18.3333,222952.0,,,,,,57.1429,12.0,10.0,83.333,1.0,18.0,75.0,
9,2009,45.614,49.1071,,,,1343.21,,2704.92,,,23.321,,,23.3333,222316.0,,,,,,62.5,11.0,10.0,90.909,1.0,11.0,75.0,
10,2010,46.9298,49.1071,,,,1319.4,,2617.94,,,26.566,,,23.3333,239831.0,,,,,,67.8571,11.0,10.0,90.909,1.0,8.0,75.0,
11,2011,47.3684,47.3214,,,,1323.41,,2597.89,,,32.369,,,28.3333,260157.0,53.0,,,,,67.8571,12.0,11.0,91.667,1.0,11.0,75.0,
12,2012,42.9825,41.9643,,,,1303.09,,2517.05,,,,,,21.6667,258965.0,,,,,,67.8571,11.0,10.0,90.909,1.0,15.0,75.0,
13,2013,45.1754,41.9643,,,,1178.51,,2517.93,,,,,,25.0,251196.0,,,,,,73.2143,10.0,9.0,90.0,1.0,13.0,75.0,
14,2014,46.0526,41.9643,,,,1162.77,,2452.02,,,,,,30.0,241359.0,51.0,,,,,71.4286,11.0,10.0,90.909,1.0,10.0,75.0,
15,2015,48.2456,41.9643,,,,1061.97,,2365.97,,,,,,35.0,234598.0,51.0,30.0,,,,75.0,11.0,10.0,90.909,1.0,11.0,75.0,
16,2016,49.1228,41.9643,,,,985.649,,2292.82,,,,,,35.0,243355.0,50.0,,,,,78.5714,12.0,11.0,91.667,1.0,10.0,75.0,
17,2017,49.1228,41.9643,,,,848.933,,2124.7,,,,,,38.3333,252539.0,50.0,,,,,75.0,12.0,11.0,91.667,1.0,9.0,75.0,
18,2018,48.2456,39.2857,,,,822.559,,2127.81,,,,,,40.0,256105.0,49.0,34.65,,,,75.0,12.0,11.0,91.667,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,256981.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
