,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.8325,,,,,,,,,,,,,3.5088,55000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,5.0,96.0,
9,2009,14.8325,,,,,,,,,,,,,3.5088,51000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,7.0,90.0,
10,2010,14.8325,,,,,,,,,,,,,3.5088,53000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,6.0,75.0,
11,2011,17.7033,,,,,,,,,,,,,14.0351,54000.0,,,,,0.8,51.7857,11.0,8.0,72.727,1.0,5.0,75.0,
12,2012,23.445,9.375,,,,,,,,,,,,19.2982,56500.0,,,,,1.9,51.7857,12.0,9.0,75.0,1.0,7.0,97.0,
13,2013,26.7943,10.4167,,,,,,,,,,,,29.8246,61000.0,,,,,1.9,51.7857,11.0,8.0,72.727,1.0,5.0,75.0,
14,2014,32.5359,13.5417,,,,,,,,,,,,45.614,62500.0,72.0,,,,1.9,51.7857,12.0,9.0,75.0,1.0,5.0,75.0,
15,2015,32.5359,13.5417,,,,,,,,,,,,45.614,67000.0,71.0,,,,1.285,51.7857,12.0,9.0,75.0,1.0,6.0,75.0,
16,2016,35.8852,16.6667,,,,,,,,,,,,52.6316,72500.0,70.2,,,,1.461,51.7857,15.0,12.0,80.0,1.0,5.0,75.0,
17,2017,35.8852,16.6667,,,,,,,,,,,,52.6316,72500.0,70.0,,,,1.419,51.7857,12.0,9.0,75.0,1.0,6.0,75.0,
18,2018,37.3206,16.6667,,,,,,,,,,,,57.8947,76000.0,69.0,58.0,,,10.029,51.7857,12.0,9.0,75.0,1.0,7.0,97.0,
19,2019,37.3206,16.6667,,,,,,,,,,,,57.8947,74000.0,68.0,56.0,,,12.0,51.7857,10.0,7.0,70.0,1.0,9.0,94.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
