,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,15.2893,,,,,,,,,,,,,14.0351,25600.0,,,,,30.7,51.7857,12.0,10.0,83.333,3.0,11.0,75.0,
6,2006,15.2893,,,,,,,,,,,,,14.0351,26000.0,,,,,35.0,51.7857,11.0,10.0,90.909,3.0,8.0,75.0,
7,2007,28.9256,14.7287,,,,,,,,,,,,33.3333,12700.0,,,,,32.8,57.1429,12.0,10.0,83.333,3.0,9.0,75.0,
8,2008,27.686,12.4031,,,,,,,,,,,,28.0702,32400.0,,,,,36.2,62.5,12.0,10.0,83.333,3.0,11.0,75.0,
9,2009,33.8843,20.155,,,,,,,,,,,,33.3333,30900.0,,,,,31.9,66.0714,12.0,10.0,83.333,3.0,10.0,75.0,
10,2010,34.2975,17.8295,,,,,,,,,,,,36.8421,30600.0,,,,,29.0,69.6429,13.0,10.0,76.923,3.0,8.0,75.0,
11,2011,34.2975,17.8295,,,,,,,,,,,,36.8421,30671.0,,,,,35.8,69.6429,12.0,10.0,83.333,3.0,7.0,75.0,
12,2012,36.7769,26.3566,,,,1040.0,,12130.0,11710.0,,,,,38.5965,31000.0,,,,,50.2,58.9286,12.0,10.0,83.333,3.0,10.0,75.0,
13,2013,33.0579,21.7054,,,,1200.0,,3975.0,13200.0,,,,,33.3333,30277.0,,,,,58.4,58.9286,11.0,9.0,81.818,3.0,8.0,75.0,
14,2014,36.7769,24.031,,,,1150.0,,3827.78,12900.0,,,,,33.3333,29790.0,,,,,51.6,69.6429,13.0,11.0,84.615,3.0,9.0,75.0,
15,2015,36.3636,23.2558,,,,1159.57,,3919.58,13319.8,,,,,38.5965,33000.0,,34.78,,,53.8,64.2857,14.0,12.0,85.714,3.0,10.0,75.0,
16,2016,38.4298,24.8062,,,,1183.1,,3927.69,13131.4,,350.4,,,38.5965,37369.0,,,,,53.8,69.6429,13.0,11.0,84.615,3.0,7.0,75.0,0.0
17,2017,38.4298,26.3566,,,,1040.6,,3764.78,12627.5,,597.192,,,35.0877,33000.0,,,,,63.4,69.6429,14.0,11.0,78.571,3.0,10.0,75.0,0.0
18,2018,39.2562,27.907,,,,942.3,,3497.47,11711.7,,540.535,,,35.0877,34000.0,,,,,45.1,69.6429,12.0,10.0,83.333,3.0,7.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
