,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.7895,,,,,,,,,,,,,8.3333,18934.0,,,,,18.1,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
8,2008,14.473700000000001,,,,,,,,,,,,,3.3333,18095.0,,,,,,55.3571,12.0,10.0,83.333,1.0,10.0,75.0,
9,2009,14.473700000000001,,,,,,,,,,,,,3.3333,16698.0,,,,,,55.3571,15.0,13.0,86.667,1.0,10.0,75.0,
10,2010,14.473700000000001,,,,,,,,,,,,,3.3333,15610.0,,,,,,55.3571,16.0,13.0,81.25,1.0,8.0,75.0,
11,2011,35.5263,34.8214,,,,96.413,,233.702,534.352,,,,,8.3333,15381.0,,,,,,66.0714,14.0,12.0,85.714,1.0,10.0,75.0,
12,2012,30.7018,29.4643,,,,84.246,,214.674,,,,,,8.3333,15589.0,,,,,,57.1429,14.0,12.0,85.714,1.0,7.0,98.2,
13,2013,36.4035,35.7143,,,,91.612,,221.786,,,7.9,,,18.3333,14783.0,,,,,,57.1429,12.0,11.0,91.667,1.0,8.0,98.0,
14,2014,34.6491,34.8214,,,,76.277,,202.555,,,6.803,,,13.3333,13853.0,,,,,,57.1429,13.0,12.0,92.308,1.0,8.0,98.0,
15,2015,34.2105,32.1429,,,,63.558,,180.052,,,,,,16.6667,13483.0,,,,,,57.1429,14.0,13.0,92.857,1.0,11.0,95.0,
16,2016,36.4035,36.6071,,,,60.615,,161.975,,,,,,16.6667,15700.0,,,,,,57.1429,17.0,15.0,88.235,1.0,14.0,90.0,
17,2017,40.7895,38.3929,,,,60.944,,202.834,,,,,,26.6667,18415.0,60.0,,,,,60.7143,16.0,14.0,87.5,1.0,7.0,97.0,
18,2018,42.5439,38.3929,,,,60.428,,204.081,,,10.512,,,33.3333,18553.0,60.0,29.0,,,,60.7143,14.0,12.0,85.714,1.0,9.0,96.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
