,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2014,9.0909,,,,,,,,,,,,,,,,,,,,39.2857,6.0,5.0,83.333,3.0,,,0.0
15,2015,50.8264,49.6124,6.747,88.181,0.492,88.188,,179.062,34563.898,0.218,3.301,0.0,0.0,42.1053,9864.0,32.83,,43.0,0.0,,62.5,6.0,5.0,83.333,3.0,7.0,75.0,0.0
16,2016,53.3058,56.5891,7.907,84.48,0.498,84.488,,169.621,20882.4,0.243,5.02,0.0,0.0,36.8421,10486.0,32.16,,,0.0,,62.5,8.0,7.0,87.5,3.0,6.0,75.0,0.0
17,2017,48.3471,48.062,,,,80.756,,168.594,22229.6,0.215,2.177,0.0,0.0,36.8421,11084.0,32.08,,,0.0,,60.7143,8.0,7.0,87.5,3.0,8.0,75.0,
18,2018,53.3058,51.1628,,,,75.61,,173.355,9904.88,0.327,6.562,0.0,0.0,45.614,13624.0,30.69,,,0.0,,66.0714,7.0,6.0,85.714,3.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,13600.0,,,,,,,,,,3.0,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
