,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,682.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,100.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,680.0,,,,,,51.7857,8.0,6.0,75.0,1.0,9.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,650.0,,,,,,51.7857,8.0,6.0,75.0,1.0,10.0,90.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,687.0,,,,,,51.7857,8.0,6.0,75.0,1.0,9.0,89.0,
11,2011,25.2066,23.2558,4.041,,,77.398,,242.079,,,,,,3.5088,685.0,,,,,,51.7857,9.0,7.0,77.778,1.0,7.0,86.0,
12,2012,33.0579,35.6589,3.416,,,70.896,,173.422,,0.0,221.947,,,8.7719,635.0,,,,,,51.7857,9.0,7.0,77.778,1.0,7.0,90.0,
13,2013,46.6942,48.062,3.944,,,70.892,,153.667,8349.01,,237.629,0.0,0.0,28.0702,593.0,64.92,,,,,62.5,9.0,7.0,77.778,1.0,8.0,97.0,
14,2014,47.1074,44.186,2.709,,,65.512,,140.315,852098.0,,312.045,,,38.5965,566.0,66.25,,,0.0,,62.5,8.0,6.0,75.0,1.0,8.0,99.0,
15,2015,47.9339,45.7364,2.531,,,56.225,,129.891,2530.9,,232.784,,,38.5965,540.0,65.56,,,0.0,,62.5,8.0,6.0,75.0,1.0,5.0,98.0,
16,2016,49.1736,48.062,2.412,,,53.554,,127.711,2643.73,0.0,227.041,,,38.5965,546.0,65.0,,,0.0,,62.5,8.0,6.0,75.0,1.0,5.0,99.0,
17,2017,52.8926,52.7132,2.694,,,44.793,,118.009,2586.94,0.0,222.637,0.0,0.0,38.5965,544.0,65.0,,,0.0,,67.8571,9.0,7.0,77.778,1.0,5.0,100.0,0.359
18,2018,52.8926,52.7132,2.14,,,39.038,,105.141,2487.35,0.0,209.579,0.0,0.0,38.5965,531.0,64.03,,,0.0,,67.8571,10.0,8.0,80.0,1.0,5.0,100.0,0.443
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
