,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,6000.0,,,,,,51.7857,10.0,9.0,90.0,3.0,11.0,80.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,6000.0,,,,,,51.7857,11.0,10.0,90.91,3.0,11.0,75.0,
9,2009,14.876,,,,,,,,,,,,,8.7719,4900.0,,,,,,55.3571,10.0,9.0,90.0,3.0,7.0,85.0,
10,2010,19.0083,5.4264,,,,,,,,,,,,14.0351,5000.0,,,,,,55.3571,10.0,9.0,90.0,3.0,9.0,85.0,
11,2011,20.2479,5.4264,,,,,,,,,,,,19.2982,5500.0,,,,,,55.3571,11.0,10.0,90.91,3.0,8.0,80.0,
12,2012,21.0744,5.4264,,,,,,,,,,,,22.807,5710.0,,,,,,55.3571,11.0,10.0,90.909,3.0,7.0,75.0,
13,2013,22.314,5.4264,,,,,,,,,,,,28.0702,5820.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,27.2727,12.4031,,,,,,,,,,,,28.0702,6060.0,,,,,,60.7143,10.0,9.0,90.0,1.0,9.0,90.0,
15,2015,28.0992,13.9535,,,,,,,,,,,,28.0702,5880.0,,,,,,60.7143,11.0,10.0,90.909,1.0,9.0,90.0,
16,2016,28.0992,13.9535,,,,,,,,,,,,28.0702,5580.0,,,,,,60.7143,10.0,9.0,90.0,1.0,13.0,75.0,
17,2017,28.0992,13.9535,,,,,,,,,,,,28.0702,5990.0,,,,,,60.7143,10.0,9.0,90.0,1.0,5.0,75.0,
18,2018,26.8595,13.9535,,,,,,,,,,,,28.0702,6550.0,,,,,,55.3571,10.0,9.0,90.0,1.0,5.0,75.0,
19,2019,26.8595,13.9535,,,,,,,,,,,,28.0702,10020.0,,,,,,55.3571,12.0,9.0,75.0,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
