,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,57.438,51.938,2710.0,6010.0,0.251,6010.0,,23990.4,145700.0,,1320.0,12.0,0.004,64.9123,57000.0,31.3,25.6,,1.0,20.2,62.5,12.0,11.0,91.667,3.0,6.0,75.0,0.0
7,2007,54.1322,49.6124,2810.0,6100.0,0.26,6100.0,,23490.6,145400.0,0.393,1420.0,12.0,0.004,59.6491,55000.0,30.5,26.1,,1.0,17.9,58.9286,12.0,11.0,91.667,3.0,8.0,75.0,0.0
8,2008,53.3058,55.0388,2800.0,6190.0,0.264,6190.0,5.023,23490.6,144600.0,0.4,1540.4,7.0,0.0,54.386,55000.0,29.8,27.1,,1.0,18.5,48.2143,12.0,11.0,91.667,1.0,7.0,75.0,
9,2009,52.8926,56.5891,,5980.0,0.266,5980.0,5.016,22461.6,143300.0,0.386,1480.0,5.0,0.021,45.614,56000.0,29.7,27.4,,,18.8,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
10,2010,66.1157,62.0155,,5239.72,0.25,5283.9,4.819,20962.199,126495.0,0.227,1370.23,14.0,0.306,64.9123,57000.0,29.9,27.3,,0.0,20.7,76.7857,13.0,12.0,92.308,1.0,6.0,75.0,0.0
11,2011,61.5702,58.1395,,5156.66,0.253,5198.13,4.86,20374.199,125188.0,0.233,1290.23,19.0,0.211,64.9123,57000.0,30.1,28.6,,0.0,32.1,66.0714,13.0,12.0,92.308,1.0,6.0,75.0,
12,2012,61.5702,58.1395,,5046.15,0.296,5072.32,3.906,17052.0,104562.0,0.31,1330.31,10.0,0.017,64.9123,58340.0,31.0,29.3,,0.0,33.0,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,
13,2013,60.3306,60.4651,,4932.16,0.294,4957.92,3.774,16787.4,93987.5,0.405,1280.4,9.0,0.2,54.386,57000.0,35.6,,,0.0,30.5,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,
14,2014,64.4628,63.5659,,4890.43,0.291,4916.96,2.895,16816.801,94575.898,0.481,1260.48,12.0,0.01,64.9123,44849.0,31.8,,2.0,0.0,35.8,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,
15,2015,63.6364,59.6899,,4879.0,0.289,4900.0,2.5620000000000003,16905.0,92100.0,0.969,1150.97,,0.016,70.1754,44757.0,32.2,,5.0,0.0,29.0,66.0714,11.0,10.0,90.909,1.0,6.0,75.0,
16,2016,59.9174,59.6899,,4544.0,0.275,4500.0,2.545,16552.199,91600.0,1.02,1231.02,,0.002,54.386,43280.0,31.8,,,0.0,28.2,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,
17,2017,63.2231,65.8915,,4505.0,0.274,4530.0,2.453,16458.1,89400.0,1.7269999999999999,1211.73,,0.001,54.386,43364.0,31.1,,,1.0,26.0,66.0714,13.0,11.0,84.615,1.0,6.0,75.0,
18,2018,62.3967,64.3411,,4444.0,0.27,4470.0,2.536,16475.801,91400.0,0.919,1140.92,,,54.386,41898.0,31.0,,,2.0,27.85,66.0714,14.0,12.0,85.714,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,40000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
