,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,8142.0,,,,,,,11.0,7.0,63.636,1.0,,,
11,2011,21.4876,5.4264,,,,,,,,,,,,24.5614,8120.0,,,,,,55.3571,13.0,10.0,76.923,1.0,5.0,75.0,
12,2012,,,,,,,,,,,,,,,10685.0,,,,,,,11.0,8.0,72.727,1.0,6.0,75.0,
13,2013,21.4876,5.4264,,,,,,,,,,,,24.5614,11075.0,,,,,,55.3571,11.0,8.0,72.727,1.0,9.0,75.0,
14,2014,22.7273,7.7519,,,,,,,,,,,,24.5614,11535.0,,,,,,55.3571,16.0,13.0,81.25,1.0,8.0,75.0,
15,2015,27.2727,12.4031,,,,,,,,,,,,28.0702,11290.0,,,,1.0,,60.7143,15.0,12.0,80.0,1.0,9.0,75.0,
16,2016,27.686,13.1783,,,,,,,,,,,,28.0702,11121.0,,,,2.0,,60.7143,15.0,13.0,86.667,1.0,7.0,75.0,
17,2017,30.1653,15.5039,,,,,,,,,,,,28.0702,10897.0,,,,0.0,,66.0714,16.0,13.0,81.25,1.0,7.0,75.0,
18,2018,38.0165,15.5039,,,,,,,,,,,,56.1404,11012.0,16.0,18.0,,0.0,,71.4286,16.0,13.0,81.25,1.0,8.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,11086.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
