,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,13.2231,,,,,,,,,,,,,8.7719,15637.0,,,,,,48.2143,14.0,12.0,85.714,3.0,6.0,96.0,
9,2009,13.2231,,,,,,,,,,,,,8.7719,13035.0,,,,,,48.2143,13.0,11.0,84.615,3.0,9.0,95.37,
10,2010,13.2231,,,,,,,,,,,,,8.7719,13439.0,,,,,,48.2143,13.0,11.0,84.62,3.0,6.0,75.0,
11,2011,13.2231,,,,,,,,,,,,,8.7719,15565.0,,,,,,48.2143,13.0,11.0,84.615,3.0,4.0,75.0,
12,2012,14.0496,,,,,,,,,,,,,12.2807,16460.0,,,,,,48.2143,12.0,11.0,91.667,3.0,4.0,100.0,
13,2013,17.3554,,,,,,,,,,,,,22.807,18111.0,,,,,,51.7857,12.0,11.0,91.667,3.0,4.0,75.0,
14,2014,17.3554,,,,,,,,,,,,,22.807,20171.0,,,,,,51.7857,11.0,10.0,90.909,1.0,4.0,98.0,
15,2015,17.3554,,,,,,,,,,,,,19.2982,22064.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,97.0,
16,2016,21.9008,6.9767,,,,,,,,,,,,22.807,22429.0,,,,,,55.3571,11.0,10.0,90.909,1.0,5.0,99.0,
17,2017,24.3802,11.6279,,,,,,,,,,,,22.807,24344.0,,,,,,55.3571,13.0,11.0,84.615,1.0,4.0,97.0,
18,2018,24.3802,11.6279,,,,,,,,,,,,22.807,25110.0,,,,,,55.3571,12.0,10.0,83.333,1.0,4.0,99.0,
19,2019,24.3802,11.6279,,,,,,,,,,,,22.807,25946.0,,,,,,55.3571,12.0,10.0,83.333,1.0,4.0,98.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
