,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,15555.6,307000.0,,1240.0,,,,56000.0,,,,,,,14.0,,,3.0,6.0,75.0,
3,2003,13.6364,,,,,,,,,,,,,3.5088,49000.0,,,,,,55.3571,16.0,12.0,75.0,3.0,5.0,94.0,
4,2004,10.7438,,,,,,,,,,,,,3.5088,50000.0,,,,,,42.8571,15.0,11.0,73.333,,8.0,95.0,
5,2005,28.0992,10.0775,,,,,,,,,,,,40.3509,55000.0,,,,,76.0,57.1429,14.0,11.0,78.571,1.0,6.0,98.0,
6,2006,29.3388,12.4031,,,,,,,,,,,,40.3509,71000.0,,,,,70.0,57.1429,11.0,9.0,81.818,1.0,7.0,96.0,
7,2007,30.9917,13.9535,,,,,,,,,,,,43.8596,90500.0,,,,5.0,99.0,57.1429,13.0,11.0,84.615,1.0,7.0,96.0,0.421
8,2008,34.2975,15.5039,,,,,,,,,,,,43.8596,92400.0,,,,1.0,82.0,67.8571,14.0,13.0,92.857,1.0,6.0,96.0,0.41
9,2009,33.0579,15.5039,,,,,,,,,,,,43.8596,92800.0,,,,4.0,88.0,62.5,14.0,13.0,92.857,1.0,6.0,96.0,
10,2010,33.0579,15.5039,,,,,,,,,,,,43.8596,139600.0,,,,7.0,102.0,62.5,15.0,11.0,73.333,1.0,9.0,75.0,
11,2011,38.843,26.3566,,,,3729.32,,4496.8,67589.0,,377.098,,,43.8596,146200.0,,,,3.0,124.0,62.5,16.0,13.0,81.25,1.0,5.0,75.0,
12,2012,45.4545,38.7597,,,,3690.0,,4215.36,76293.398,,408.437,,,43.8596,150900.0,,,,5.0,102.0,62.5,17.0,15.0,88.235,1.0,6.0,75.0,
13,2013,47.5207,38.7597,,,,3299.26,,4638.61,65835.797,,341.626,,,49.1228,130600.0,,,,5.0,143.0,66.0714,17.0,15.0,88.235,1.0,5.0,98.0,
14,2014,42.1488,35.6589,,,,2626.57,,4059.91,,,,,,33.3333,129200.0,,,,2.0,,66.0714,15.0,13.0,86.667,1.0,5.0,95.0,
15,2015,30.9917,19.3798,,,,2263.78,,,,,,,,33.3333,123200.0,,,,2.0,,55.3571,15.0,13.0,86.667,1.0,6.0,98.0,
16,2016,43.3884,42.6357,,,,1528.01,,3163.17,317640.0,,,,,33.3333,100300.0,,,,,,55.3571,14.0,12.0,85.714,1.0,6.0,98.0,
17,2017,48.7603,42.6357,385.493,,,879.432,,2147.65,288990.0,,,,,43.8596,61800.0,,,,,39.0,67.8571,14.0,11.0,78.571,1.0,6.0,99.0,1.279
18,2018,50.8264,44.186,688.824,,,1508.07,,2679.05,298798.0,,,,,54.386,62600.0,47.71,32.13,,,35.395,62.5,16.0,13.0,81.25,1.0,6.0,95.0,
19,2019,,,,,,,,,,,,,,,86200.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
