,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,24.3802,14.7287,,,,6354.48,,,,,,,,19.2982,323000.0,,,,,63.1,51.7857,17.0,14.0,82.353,1.0,6.0,75.0,
9,2009,23.1405,7.7519,,,,,,,,,,,,29.8246,326000.0,50.9,45.9,,,36.0,51.7857,15.0,12.0,80.0,1.0,7.0,75.0,
10,2010,24.3802,12.4031,,,,6353.39,,,,,,,,24.5614,334000.0,43.0,,,,40.0,51.7857,14.0,12.0,85.714,1.0,7.0,75.0,
11,2011,26.4463,10.0775,,,,6550.15,,,,,,,,28.0702,338000.0,50.1,,,,66.0,62.5,14.0,12.0,85.714,1.0,5.0,75.0,
12,2012,27.686,12.4031,,,,6416.9,,7300.0,,,,,,28.0702,339000.0,43.0,,,,71.0,62.5,14.0,12.0,85.714,1.0,5.0,75.0,
13,2013,31.405,14.7287,,,,6105.83,,7380.0,,,,,,33.3333,343000.0,43.0,,,,73.0,67.8571,14.0,12.0,85.714,1.0,7.0,75.0,0.0
14,2014,32.2314,16.2791,,,,6337.53,,7200.0,,,,,,33.3333,375000.0,50.0,,,,51.454,67.8571,13.0,11.0,84.615,1.0,7.0,75.0,0.0
15,2015,36.3636,22.4806,,,,6409.29,,,,,,,,38.5965,400000.0,51.0,,,,280.0,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,37.6033,27.1318,,,,6568.98,,,,,,,,38.5965,431000.0,51.0,,,,290.0,60.7143,12.0,11.0,91.667,1.0,5.0,75.0,
17,2017,38.4298,28.6822,,,,7251.43,,,,,,,,38.5965,443000.0,51.0,,,,319.0,60.7143,12.0,11.0,91.667,1.0,5.0,75.0,
18,2018,45.8678,38.7597,,,,6824.38,,12756.1,26499.1,,301.377,,,47.3684,449000.0,51.0,,,,358.0,60.7143,11.0,10.0,90.909,1.0,6.0,75.0,
19,2019,42.9752,37.2093,,,,5917.43,,11729.1,26120.5,,273.318,,,38.5965,453223.0,51.0,,,,328.0,60.7143,12.0,11.0,91.667,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
