,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,35.4067,41.6667,,,,771.957,,1001.9,3001.97,,,,,8.7719,26000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,7.0,75.0,
9,2009,34.4498,39.5833,,,,835.281,,1180.08,3274.53,,,,,8.7719,28000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,6.0,75.0,
10,2010,34.4498,39.5833,,,,861.837,,1199.26,3164.75,,,,,8.7719,29000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
11,2011,37.799,46.875,,,,859.581,,,3331.31,,196.356,,,8.7719,29000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
12,2012,39.2344,43.75,,,,882.624,,,,,191.303,,,14.0351,30000.0,,,,,12.4,57.1429,12.0,10.0,83.333,1.0,5.0,75.0,
13,2013,39.2344,43.75,,,,889.487,,,,,166.145,,,14.0351,30000.0,,,,,15.7,57.1429,12.0,10.0,83.333,1.0,5.0,75.0,
14,2014,43.0622,43.75,,,,868.013,,,,,142.252,,,33.3333,137000.0,,,,,49.0,51.7857,10.0,8.0,80.0,1.0,5.0,75.0,
15,2015,43.0622,43.75,,,,808.228,,,,,167.454,,,33.3333,137000.0,,,,,56.0,51.7857,10.0,8.0,80.0,1.0,6.0,75.0,
16,2016,44.4976,46.875,,,,788.803,,,,,163.116,,,33.3333,140000.0,,,,,51.0,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
17,2017,47.3684,46.875,,,,808.184,,,,,164.437,,,43.8596,138000.0,78.0,,,,51.0,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
18,2018,42.5837,39.5833,,,,567.723,,,,,200.596,,,38.5965,137000.0,75.0,,,,44.0,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
19,2019,41.1483,39.5833,,,,553.933,,,,,145.625,,,33.3333,129000.0,,,,,0.26,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
