,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,,,,,,,,,,,,,8.7719,6400.0,,,,,,51.7857,8.0,7.0,87.5,3.0,4.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,6100.0,,,,,,51.7857,9.0,7.0,77.778,3.0,5.0,75.0,
10,2010,14.876,,,,,,,,,,,,,8.7719,6100.0,,,,,,55.3571,9.0,8.0,88.89,3.0,9.0,75.0,
11,2011,16.9421,3.876,,1280.47,,,,,,,,,,8.7719,6140.0,,,,,,55.3571,9.0,7.0,77.778,3.0,4.0,75.0,
12,2012,20.2479,5.4264,,1285.57,,,,,,,,,,19.2982,6110.0,,,,,,55.3571,9.0,8.0,88.889,3.0,5.0,75.0,
13,2013,27.2727,14.7287,,1303.95,,,,,,,,,,22.807,6260.0,,,,2.0,,60.7143,9.0,7.0,77.778,3.0,5.0,75.0,
14,2014,28.0992,13.9535,1399.94,,,,,,,,,,,28.0702,6490.0,,,,,0.4,60.7143,9.0,7.0,77.778,3.0,8.0,75.0,
15,2015,28.0992,13.9535,1343.86,,,,,,,,,,,28.0702,6670.0,,,,,0.2,60.7143,8.0,7.0,87.5,1.0,5.0,75.0,
16,2016,40.4959,37.2093,,,,1406.2,43.829,5570.54,2307.02,,,0.0,0.0,28.0702,6820.0,,,,,0.63,60.7143,10.0,8.0,80.0,1.0,8.0,74.8,
17,2017,50.4132,48.8372,,,,1472.81,16.813,5900.59,531.826,0.454,48.586,0.0,0.0,43.8596,7132.0,4.978,,,0.0,0.756,60.7143,12.0,11.0,91.667,1.0,5.0,75.0,
18,2018,51.6529,51.1628,,,,1430.0,16.773,5605.58,,1.248,44.185,0.0,0.0,43.8596,7209.0,5.1,,,,1.782,60.7143,11.0,10.0,90.909,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,7040.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
