,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,21700.0,,,,,,,10.0,7.0,70.0,1.0,9.0,75.0,
8,2008,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,19100.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
9,2009,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,18500.0,,,,,,51.7857,12.0,9.0,75.0,1.0,8.0,75.0,
10,2010,,,,,,,,,,,,,,,18400.0,,,,,,,12.0,9.0,75.0,1.0,9.0,75.0,
11,2011,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,18250.0,,,,,,51.7857,13.0,10.0,76.923,1.0,5.0,75.0,
12,2012,16.6667,1.7856999999999998,,,,,,,,,,,,8.3333,18025.0,,,,,,55.3571,13.0,10.0,76.923,1.0,8.0,75.0,
13,2013,18.4211,1.7856999999999998,,,,,,,,,,,,18.3333,18175.0,,,,,,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
14,2014,18.4211,1.7856999999999998,,,,,,,,,,,,18.3333,17510.0,,,,,,51.7857,13.0,10.0,76.923,1.0,7.0,75.0,
15,2015,19.7368,1.7856999999999998,,,,,,,,,,,,18.3333,16700.0,,,,,,57.1429,14.0,11.0,78.571,1.0,9.0,75.0,0.312
16,2016,18.4211,1.7856999999999998,,,,,,,,,,,,18.3333,15800.0,,,,,,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
17,2017,18.4211,1.7856999999999998,,,,,,,,,,,,18.3333,18100.0,,,,,,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
18,2018,24.5614,12.5,,,,,,,,,,,,21.6667,17900.0,,,,,,51.7857,13.0,10.0,76.923,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
