,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,19.1388,9.375,,,,422.672,,,,,,,,3.5088,125500.0,,,,,,51.7857,13.0,10.0,76.923,3.0,8.0,75.0,
8,2008,19.1388,9.375,,,,385.008,,,,,,,,3.5088,97500.0,,,,,,51.7857,11.0,6.0,54.546,3.0,10.0,75.0,
9,2009,14.8325,,,,,,,,,,,,,3.5088,90900.0,,,,,,51.7857,11.0,8.0,72.727,3.0,7.0,75.0,
10,2010,14.8325,,,,,,,,,,,,,3.5088,92100.0,,,,,,51.7857,11.0,8.0,72.727,3.0,7.0,75.0,
11,2011,26.3158,15.625,,,,,,,,,,,,19.2982,96500.0,,,,,,51.7857,10.0,7.0,70.0,3.0,7.0,75.0,
12,2012,28.2297,19.7917,,,,,,,,,,,,19.2982,97000.0,,,,,,51.7857,10.0,7.0,70.0,3.0,8.0,75.0,
13,2013,29.1866,19.7917,,,,,,,,,,,,22.807,99400.0,,,,,,51.7857,12.0,8.0,66.667,3.0,6.0,75.0,
14,2014,29.1866,19.7917,,,,,,,,,,,,22.807,94600.0,,,,,,51.7857,12.0,8.0,66.667,3.0,5.0,75.0,
15,2015,29.1866,19.7917,,,,,,,,,,,,22.807,80100.0,,,,,,51.7857,12.0,8.0,66.667,3.0,7.0,75.0,
16,2016,29.1866,19.7917,,,,,,,,,,,,22.807,87900.0,,,,,,51.7857,12.0,9.0,75.0,3.0,7.0,75.0,
17,2017,29.1866,19.7917,,,,,,,,,,,,22.807,93600.0,,,,,,51.7857,11.0,8.0,72.727,3.0,8.0,75.0,
18,2018,29.1866,19.7917,,,,,,,,,,,,22.807,93200.0,,,,,,51.7857,12.0,8.0,66.667,3.0,5.0,75.0,
19,2019,29.1866,19.7917,,,,,,,,,,,,22.807,88900.0,,,,,,51.7857,12.0,9.0,75.0,3.0,10.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
