,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,91.667,1.0,10.0,92.4,
10,2010,37.1901,34.8837,,,,120.9,,135.085,299.379,,1.397,0.0,0.0,19.2982,45400.0,31.4,,,,,60.7143,13.0,11.0,84.615,1.0,11.0,75.0,
11,2011,40.9091,34.8837,,,,116.0,,124.187,429.369,,1.075,0.0,0.0,29.8246,46200.0,31.7,,,,,66.0714,13.0,12.0,92.308,1.0,11.0,75.0,
12,2012,41.7355,34.8837,,,,97.7,,108.793,228.752,,1.216,0.0,0.0,38.5965,43400.0,32.9,,,,4.0,60.7143,13.0,12.0,92.308,1.0,17.0,75.0,
13,2013,43.3884,35.6589,,,,90.5,,186.5,222.324,,1.358,,,43.8596,41100.0,35.8,,,,2.4,60.7143,11.0,10.0,90.909,1.0,18.0,75.0,
14,2014,43.3884,35.6589,,,,57.5,,121.801,141.816,,0.712,,,43.8596,40000.0,34.7,,,,1.8,60.7143,9.0,7.0,77.778,1.0,14.0,75.0,
15,2015,43.3884,35.6589,,,,45.2,,101.544,78.396,,0.567,,,43.8596,17717.0,35.0,,,,2.028,60.7143,10.0,8.0,80.0,1.0,9.0,75.0,
16,2016,39.6694,35.6589,,,,81.0,,215.762,65.608,,0.553,,,28.0702,32000.0,,,,,2.2,60.7143,12.0,10.0,83.333,1.0,11.0,75.0,
17,2017,39.2562,34.8837,,,,70.971,,209.843,133.34,,0.55,,,28.0702,31388.0,,,,,4.25,60.7143,13.0,11.0,84.615,1.0,7.0,75.0,
18,2018,40.4959,34.8837,,,,58.27,,199.759,118.776,,0.545,,,33.3333,32166.0,36.11,,,,4.25,60.7143,13.0,12.0,92.308,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,34000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
