,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,23.1405,11.6279,,,,,,,,,,,,17.5439,16000.0,,,,,4.55,55.3571,11.0,10.0,90.91,3.0,9.0,75.0,
8,2008,22.314,13.9535,,,,,,,,,,,,8.7719,16500.0,,,,,,55.3571,11.0,10.0,90.909,3.0,13.0,75.0,
9,2009,24.3802,16.2791,,,,84.699,,,,,,,,12.2807,15400.0,,,,,,55.3571,11.0,10.0,90.909,1.0,8.0,75.0,
10,2010,23.5537,13.9535,,,,,,,,,,,,14.0351,15800.0,,,,,4.3,55.3571,11.0,10.0,90.909,1.0,7.0,75.0,
11,2011,16.1157,1.5504,,,,,,,,,,,,14.0351,16900.0,,,,,,51.7857,11.0,10.0,90.91,1.0,10.0,75.0,
12,2012,16.1157,1.5504,,,,,,,,,,,,14.0351,15200.0,,,,,,51.7857,11.0,10.0,90.909,1.0,11.0,75.0,
13,2013,16.1157,1.5504,,,,,,,,,,,,14.0351,14000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,9.0,98.0,
14,2014,16.9421,1.5504,,,,,,,,,,,,14.0351,14000.0,,,,,,55.3571,13.0,12.0,92.308,1.0,6.0,98.0,
15,2015,26.4463,12.4031,,,,,,352.0,,,,,,29.8246,22300.0,,,187.0,,,55.3571,12.0,11.0,91.667,1.0,14.0,97.0,
16,2016,26.4463,12.4031,,,,,,270.0,,,,,,29.8246,21000.0,,,140.0,,,55.3571,12.0,11.0,91.667,1.0,6.0,98.0,
17,2017,26.4463,12.4031,,,,,,,,,,,,29.8246,17000.0,,,134.0,,,55.3571,12.0,11.0,91.667,1.0,10.0,93.0,
18,2018,28.9256,12.4031,,,,,,,,,,,,40.3509,17500.0,26.0,30.59,111.0,,,55.3571,11.0,10.0,90.909,1.0,6.0,100.0,
19,2019,25.2066,12.4031,,,,,,,,,,,,24.5614,18200.0,,,,,,55.3571,11.0,10.0,90.909,1.0,11.0,94.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
