,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,15.2893,,,,,,,,,,,,,14.0351,9600.0,,,,,,51.7857,10.0,6.0,60.0,1.0,5.0,75.0,
9,2009,15.2893,,,,,,,,,,,,,14.0351,10000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,5.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,14.0351,12000.0,,,,,,46.4286,10.0,8.0,80.0,1.0,7.0,,
11,2011,15.2893,,,,,,,,,,,,,14.0351,17900.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,75.0,
12,2012,15.2893,,,,,,,,,,,,,14.0351,20300.0,,,,,,51.7857,9.0,7.0,77.778,1.0,5.0,75.0,
13,2013,16.5289,,,,,,,,,,,,,19.2982,23800.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,75.0,
14,2014,16.5289,,,,,,,,,,,,,19.2982,29500.0,,,,,,51.7857,10.0,7.0,70.0,1.0,7.0,75.0,
15,2015,16.5289,,,,,,,,,,,,,19.2982,31100.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
16,2016,16.5289,,,,,,,,,,,,,19.2982,42500.0,,,,,,51.7857,10.0,7.0,70.0,1.0,6.0,75.0,
17,2017,18.1818,3.876,,,,,,,,,,,,17.5439,43000.0,,,,,,51.7857,10.0,7.0,70.0,1.0,9.0,75.0,
18,2018,18.1818,3.876,,,,,,,,,,,,17.5439,51000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
