,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,45.8678,47.2868,,,,2215.43,1.4849999999999999,4272.22,36970.0,108.914,166.581,1.0,0.018,26.3158,44455.0,,,,,71.0,62.5,12.0,10.0,83.333,3.0,9.0,80.0,1.3439999999999999
5,2005,46.6942,46.5116,,,,2277.59,1.2650000000000001,4450.0,36500.0,92.684,153.7,0.0,0.0,31.5789,43242.0,,,,,58.0,62.5,12.0,10.0,83.333,3.0,7.0,80.0,0.958
6,2006,45.0413,43.4109,,,,2296.0,1.102,4375.0,36500.0,69.851,153.6,0.0,0.039,31.5789,41502.0,45.1,,,,,62.5,12.0,10.0,83.333,3.0,7.0,90.0,1.4769999999999999
7,2007,24.7934,20.155,,,,2260.0,,4277.78,33600.0,,105.4,5.0,,8.7719,39481.0,,,,,,51.7857,12.0,10.0,83.333,3.0,7.0,88.0,
8,2008,43.3884,51.1628,,,,1740.0,1.205,3498.6,17600.0,55.5,387.0,27.0,0.0,17.5439,40500.0,,,,,,51.7857,13.0,11.0,84.615,3.0,9.0,85.0,
9,2009,46.281,51.938,,,,1668.0,1.125,3322.2,13200.0,46.4,287.0,16.0,0.012,28.0702,40360.0,46.0,,,,,51.7857,13.0,12.0,92.308,3.0,7.0,90.0,
10,2010,53.3058,54.2636,,,,1625.0,0.877,3292.8,12800.0,31.0,228.0,11.0,0.001,43.8596,38350.0,46.0,22.0,,,,60.7143,13.0,12.0,92.308,3.0,7.0,78.0,
11,2011,52.0661,56.5891,,,,1530.0,0.798,3175.2,13400.0,22.0,242.0,8.0,0.34,38.5965,38080.0,46.0,,,,,55.3571,14.0,13.0,92.857,3.0,10.0,82.0,
12,2012,54.5455,56.5891,,,,1556.0,0.744,3175.2,13500.0,26.0,285.0,8.0,0.001,43.8596,38350.0,46.0,24.0,,,,60.7143,14.0,13.0,92.857,3.0,8.0,85.0,
13,2013,50.8264,56.5891,,,,1596.0,1.06,3322.2,13800.0,24.0,310.0,0.0,0.0,33.3333,37925.0,,,,,,55.3571,16.0,15.0,93.75,3.0,8.0,85.0,
14,2014,55.7851,56.5891,,,,1540.0,0.883,3292.8,15000.0,24.0,295.0,0.0,0.0,43.8596,39136.0,46.0,36.0,,,,66.0714,14.0,13.0,92.857,3.0,9.0,80.0,8.486
15,2015,57.0248,56.5891,,,,1542.0,0.73,3234.0,14200.0,25.0,252.0,0.0,0.0,43.8596,41275.0,47.0,37.0,,,,71.4286,13.0,12.0,92.308,3.0,9.0,80.0,7.335
16,2016,49.1736,41.8605,,,,1517.0,,3239.88,14500.0,24.0,296.0,0.0,0.0,49.1228,41975.0,47.0,37.0,,,691.3,66.0714,14.0,13.0,92.857,3.0,7.0,80.0,7.22
17,2017,50.0,39.5349,,,,1473.0,,3339.84,13800.0,,294.0,0.0,0.0,54.386,40655.0,47.0,41.0,,,947.9,69.6429,14.0,13.0,92.857,3.0,8.0,80.0,0.347
18,2018,50.0,39.5349,,,,1375.0,,3242.82,13900.0,,206.0,0.0,0.0,54.386,38680.0,48.0,42.0,,,1310.9,69.6429,14.0,13.0,92.857,3.0,6.0,80.0,0.306
19,2019,,,,,,,,,,,,,,,33625.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
