,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,17.7686,6.9767,,,,,,,,,,,,8.7719,135000.0,,,,,,51.7857,15.0,14.0,93.333,1.0,10.0,75.0,
6,2006,19.0083,9.3023,,,,,,,,,,,,8.7719,140000.0,,,,,,51.7857,15.0,14.0,93.333,1.0,9.0,75.0,
7,2007,30.5785,22.4806,,,,1467.24,,,,,,,,22.807,140000.0,,,,,22.0,57.1429,15.0,13.0,86.667,1.0,10.0,75.0,
8,2008,28.9256,21.7054,,,,1537.81,,,,,,,,22.807,146000.0,,,,,20.1,51.7857,13.0,12.0,92.308,1.0,7.0,75.0,
9,2009,40.0826,40.3101,308.796,1395.06,,1511.91,,,,,,,,28.0702,140000.0,,,,,24.6,51.7857,13.0,12.0,92.308,1.0,8.0,75.0,
10,2010,43.3884,44.9612,278.789,1334.89,0.433,1347.65,,3085.55,,,,,,28.0702,132000.0,,,,,25.7,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
11,2011,54.5455,52.7132,274.453,1280.78,0.43,1293.29,,2975.23,6859.0,,,,,52.6316,123000.0,26.0,,,,25.2,60.7143,11.0,10.0,90.909,1.0,9.0,75.0,0.071
12,2012,62.8099,61.2403,242.394,1222.76,0.435,1234.5,,2813.84,6104.0,,,0.0,0.0,52.6316,120000.0,26.0,,,,25.2,76.7857,12.0,10.0,83.333,1.0,10.0,90.0,0.039
13,2013,55.3719,51.1628,,233.655,0.079,1107.83,,2950.23,5966.08,,,0.0,0.0,49.1228,115000.0,25.0,,,,25.2,71.4286,12.0,10.0,83.333,1.0,9.0,95.0,0.083
14,2014,57.0248,54.2636,,236.637,0.083,1158.1,,2859.99,5674.59,,23.917,1.0,0.007,49.1228,112000.0,25.0,,,,25.0,71.4286,12.0,11.0,91.667,1.0,9.0,75.0,0.06
15,2015,56.6116,53.4884,,225.924,0.078,1131.28,,2914.61,4334.49,,23.984,,0.178,49.1228,126000.0,25.0,,,,26.98,71.4286,12.0,11.0,91.667,1.0,10.0,75.0,0.088
16,2016,53.3058,47.2868,,221.844,0.083,1006.34,,2672.42,4387.49,,22.236,,0.027,49.1228,97000.0,23.0,,,,14.9,71.4286,12.0,11.0,91.667,1.0,11.0,75.0,0.01
17,2017,51.2397,41.0853,,,,1037.2,,2630.88,5012.11,,27.02,,,49.1228,100000.0,22.5,,,,33.8,76.7857,10.0,9.0,90.0,1.0,9.0,75.0,0.005
18,2018,49.1736,37.2093,,,,964.89,,2769.91,5008.33,,27.497,,,49.1228,105000.0,22.6,,,,33.6,76.7857,12.0,11.0,91.667,1.0,9.0,75.0,0.015
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
