,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,19.7368,9.8214,,,,,,,,,,,,8.3333,10870.0,,,,,,51.7857,12.0,11.0,91.667,3.0,6.0,75.0,
8,2008,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,9696.0,,,,,,51.7857,12.0,11.0,91.667,3.0,14.0,75.0,
9,2009,18.4211,1.7856999999999998,,,,,,,,,,,,18.3333,8208.0,,,,,,51.7857,12.0,11.0,91.667,3.0,8.0,75.0,
10,2010,21.0526,7.1429,,,,,,,,,,,,18.3333,8270.0,,,,,,51.7857,12.0,11.0,91.67,3.0,5.0,75.0,
11,2011,23.2456,9.8214,,,,,,92.403,,,,,,18.3333,8564.0,,,,,,55.3571,11.0,10.0,90.909,3.0,5.0,75.0,
12,2012,32.4561,28.5714,,,,18.824,,88.516,,,5.136,,,18.3333,8700.0,,,,,,55.3571,11.0,10.0,90.909,3.0,4.0,75.0,
13,2013,36.4035,36.6071,,,,19.009,,90.518,,,5.013,,,18.3333,9115.0,,,,,,55.3571,11.0,10.0,90.909,3.0,4.0,75.0,
14,2014,37.2807,36.6071,,,,19.404,,93.069,102.384,,5.88,,,21.6667,9627.0,,,,,,55.3571,11.0,10.0,90.909,3.0,4.0,75.0,
15,2015,37.2807,36.6071,,,,17.323,,88.92,171.719,,5.289,,,21.6667,9312.0,,,,,,55.3571,11.0,10.0,90.909,1.0,4.0,75.0,
16,2016,39.9123,39.2857,,,,12.537,,91.634,211.62,,2.313,,,26.6667,9057.0,,,,,10.0,55.3571,11.0,10.0,90.909,1.0,4.0,75.0,
17,2017,43.8596,41.9643,2.754,,,12.709,,80.363,210.695,,2.531,,,31.6667,9047.0,,,,,10.0,60.7143,11.0,10.0,90.909,1.0,6.0,75.0,
18,2018,42.9825,41.9643,,,,13.311,,80.772,208.774,,3.172,,,31.6667,11034.0,,,,,9.2,57.1429,11.0,10.0,90.909,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,11357.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
