,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,23.0189,18.6207,21818.199,,,,15.182,,,,,,,7.8125,5179.0,,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,75.0,
8,2008,25.283,22.7586,21921.0,,,,22.636,,,,,1.0,0.285,7.8125,5318.0,,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,75.0,
9,2009,24.5283,21.3793,17202.699,,,,17.091,,,,,,,7.8125,4957.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
10,2010,25.283,22.7586,18261.801,,,,18.0,,,,,0.0,,7.8125,4704.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
11,2011,28.6792,22.7586,18267.301,,,,16.782,,,,,0.0,,21.875,4262.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
12,2012,28.6792,22.7586,16838.4,,,,14.364,,,,,0.0,,21.875,4055.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
13,2013,27.5472,20.6897,17182.699,,,,11.794,,,,,0.0,,21.875,3945.0,,,,,,51.7857,10.0,9.0,90.0,3.0,9.0,75.0,
14,2014,28.3019,20.6897,16569.9,,,,11.174,,,,,0.0,,21.875,4212.0,,,,,,55.3571,9.0,8.0,88.889,3.0,9.0,75.0,
15,2015,30.566,19.3103,16227.3,,,,9.623,,,,,,,34.375,4070.0,26.0,,,,,55.3571,10.0,9.0,90.0,3.0,9.0,75.0,
16,2016,41.1321,31.7241,14305.8,20445.301,,20562.301,7.035,,,,,0.0,0.0,50.0,3978.0,25.2,,,0.0,3.6,55.3571,10.0,9.0,90.0,3.0,10.0,75.0,
17,2017,35.4717,26.2069,,16228.1,,25200.0,8.635,,,,,,,39.0625,3989.0,25.8,,,,4.2,55.3571,10.0,9.0,90.0,3.0,9.0,75.0,
18,2018,44.1509,40.0,,17420.301,,22670.0,8.146,,782310.0,0.044,29.568,0.0,0.0,43.75,3885.0,26.1,36.0,,,7.0,55.3571,10.0,9.0,90.0,3.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,3597.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
