,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,20.5742,9.375,,,,,,,,,,,,8.7719,210000.0,,,,,15.0,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
8,2008,27.7512,25.0,,,,3245.9,,,,,,,,8.7719,216000.0,,,,,27.5,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
9,2009,24.8804,18.75,,,,,,,,,,,,8.7719,229000.0,,,,,5.1,51.7857,11.0,10.0,90.909,3.0,4.0,75.0,
10,2010,28.2297,18.75,,,,,,,,,,,,21.0526,239000.0,,,,,1.0,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
11,2011,30.622,23.9583,,,,2446.69,,,,,,,,17.5439,234000.0,,,,,4.5,55.3571,12.0,11.0,91.667,3.0,5.0,75.0,
12,2012,31.5789,22.9167,,,,2434.71,,,,,,,,22.807,248000.0,,,,,4.0,55.3571,12.0,11.0,91.667,1.0,7.0,75.0,
13,2013,30.622,17.7083,,,,2217.79,,,,,,,,28.0702,245000.0,,,,,30.0,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,32.0574,20.8333,,,,2232.29,,,,,,,,28.0702,262000.0,,,,,25.0,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
15,2015,34.9282,23.9583,,,,2183.51,,,,1.514,,,,28.0702,266000.0,,,,,28.0,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
16,2016,43.5407,39.5833,,,,2690.0,,6392.69,,23.8,656.8,,,28.0702,270000.0,,,,,29.8,66.0714,12.0,11.0,91.667,1.0,5.0,75.0,
17,2017,43.5407,39.5833,,,,2408.0,,6349.01,,26.5,630.5,,,28.0702,290000.0,,,,,33.0,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,
18,2018,45.4545,40.625,,,,2422.0,,6638.62,,30.0,582.0,,,33.3333,310000.0,,,,,42.0,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,
19,2019,44.0191,40.625,,,,2406.0,,6775.45,,32.7,619.7,,,28.0702,300000.0,,,,,,66.0714,13.0,12.0,92.308,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
