,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,,,,,,,,55.3571,10.0,8.0,80.0,1.0,11.0,75.0,
8,2008,13.6364,,,,,,,,,,,,,3.5088,3800.0,,,,,,55.3571,10.0,8.0,80.0,1.0,12.0,75.0,
9,2009,13.6364,,,,,,,,,,,,,3.5088,2711.0,,,,,,55.3571,10.0,8.0,80.0,1.0,12.0,75.0,
10,2010,13.6364,,,,,,,,,,,,,3.5088,3232.0,,,,,,55.3571,7.0,5.0,71.429,1.0,6.0,75.0,
11,2011,13.6364,,,,,,,,,,,,,3.5088,3700.0,,,,,,55.3571,11.0,9.0,81.818,1.0,5.0,75.0,
12,2012,23.5537,9.3023,,,,,,,,,,,,19.2982,6600.0,,,,,,60.7143,14.0,11.0,78.571,1.0,9.0,75.0,
13,2013,24.7934,9.3023,,,,,,,,,,,,19.2982,6600.0,,,,,,66.0714,11.0,9.0,81.818,1.0,4.0,75.0,
14,2014,24.3802,9.3023,,,,,,,,,,,,22.807,6500.0,,,,,,60.7143,11.0,9.0,81.818,1.0,8.0,75.0,
15,2015,33.4711,26.3566,,,,67.655,,,537.548,,,0.0,0.0,22.807,7300.0,,,,,,60.7143,11.0,9.0,81.818,1.0,5.0,75.0,
16,2016,33.8843,27.1318,,,,73.082,,,609.101,,,0.0,0.0,22.807,7500.0,,,,,,60.7143,9.0,7.0,77.778,1.0,13.0,75.0,
17,2017,36.3636,29.4574,,,,78.37,,,586.87,,,0.0,0.0,22.807,10200.0,,,,,,66.0714,10.0,8.0,80.0,1.0,6.0,75.0,0.0
18,2018,36.3636,29.4574,,,,92.563,,,723.013,,,0.0,0.0,22.807,10950.0,,,,,,66.0714,9.0,8.0,88.889,1.0,5.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,10900.0,,,,,,,12.0,11.0,91.667,1.0,8.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
