,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,18.1818,9.3023,,,,,,,,,,,,8.7719,34378.0,,,,,,48.2143,10.0,6.0,60.0,1.0,6.0,75.0,
8,2008,28.9256,14.7287,,,,,,,,,,,,38.5965,35499.0,44.0,,,,6.6,51.7857,10.0,9.0,90.0,1.0,9.0,75.0,
9,2009,28.9256,17.0543,,,,13888.2,,,,,,3.0,0.004,17.5439,34726.0,,,,,11.653,67.8571,9.0,8.0,88.889,1.0,10.0,75.0,
10,2010,42.1488,34.8837,,,,13974.7,,61750.5,261.205,0.016,,2.0,0.001,33.3333,34901.0,,,,,13.951,67.8571,10.0,9.0,90.0,1.0,11.0,75.0,
11,2011,43.8017,37.9845,,,,17459.801,,68441.5,299.061,0.012,,0.0,0.0,33.3333,45392.0,,,,,18.24,67.8571,10.0,9.0,90.0,1.0,11.0,75.0,
12,2012,45.8678,37.9845,,,,18279.301,,71650.602,291.49,0.022,,1.0,0.002,36.8421,45861.0,,,,,20.274,73.2143,10.0,9.0,90.0,1.0,7.0,75.0,0.002
13,2013,45.8678,40.3101,,,,17997.0,,70546.102,261.205,0.015,,0.0,0.0,36.8421,44831.0,,,,,18.951,67.8571,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,45.8678,40.3101,,,,17835.5,,69914.297,314.204,0.016,,3.0,0.006,36.8421,46278.0,,,,,20.128,67.8571,10.0,9.0,90.0,1.0,6.0,75.0,
15,2015,47.1074,47.2868,,,,18779.9,0.007,73688.203,302.847,0.025,11.135,6.0,0.007,36.8421,49583.0,,,,,19.571,57.1429,10.0,9.0,90.0,1.0,6.0,75.0,
16,2016,47.1074,47.2868,,,,19717.9,0.006,77366.0,314.204,0.022,8.791,1.0,0.003,36.8421,53536.0,,,,,25.0,57.1429,11.0,9.0,81.818,1.0,6.0,75.0,
17,2017,45.4545,43.4109,,,,20200.5,0.006,79203.0,321.775,0.02,8.943,0.0,0.0,38.5965,56110.0,42.0,,,,37.0,57.1429,11.0,9.0,81.818,1.0,13.0,75.0,
18,2018,49.1736,50.3876,,,,20584.699,0.006,81128.602,374.773,0.026,9.615,0.0,0.0,38.5965,58803.0,43.0,,,,25.0,57.1429,11.0,9.0,81.818,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,60800.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
