,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,28000.0,,,,,,51.7857,9.0,5.0,55.556,3.0,12.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,28500.0,,,,,,51.7857,8.0,4.0,50.0,3.0,23.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,27000.0,,,,,,51.7857,8.0,4.0,50.0,3.0,12.0,75.0,
10,2010,21.4876,11.6279,,,,,,,,,,,,14.0351,34000.0,,,,,,51.7857,8.0,4.0,50.0,3.0,10.0,75.0,
11,2011,26.4463,18.6047,,,,904.812,,,,,,,,14.0351,40000.0,,,,,,57.1429,9.0,5.0,55.556,3.0,10.0,75.0,
12,2012,38.4298,34.1085,,,,1046.65,,2152.34,,,63.726,,,14.0351,46000.0,,,,,,73.2143,10.0,6.0,60.0,3.0,10.0,75.0,
13,2013,41.7355,37.9845,,,,1098.45,,2071.89,10437.1,,74.617,,,24.5614,48500.0,,,,,,67.8571,10.0,6.0,60.0,3.0,13.0,75.0,
14,2014,39.6694,36.4341,,,,1082.24,,2086.0,11060.9,,79.573,,,24.5614,48500.0,,,,,,62.5,9.0,5.0,55.556,3.0,12.0,75.0,
15,2015,39.6694,36.4341,,,,1038.15,,2062.71,10275.8,,73.634,,,24.5614,46500.0,,,,,,62.5,11.0,6.0,54.546,3.0,9.0,75.0,
16,2016,42.562,39.5349,,,,1053.8,,2043.1,10497.4,,71.23,0.0,0.0,29.8246,49000.0,50.85,,,,,62.5,10.0,6.0,60.0,3.0,6.0,75.0,
17,2017,42.562,39.5349,,,,1073.92,,2085.76,10945.6,,77.515,0.0,0.0,29.8246,50500.0,49.48,,,,,62.5,11.0,6.0,54.546,3.0,8.0,75.0,
18,2018,40.9091,36.4341,,,,1002.45,,2133.75,11198.1,,82.921,,,29.8246,48935.0,50.0,,,,,62.5,11.0,6.0,54.546,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
