,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,30.5785,26.3566,,,,28000.0,9.509,97222.221,139000.0,1163.0,2464.0,,,19.2982,14000.0,,,22.0,0.0,,51.7857,8.0,3.0,37.5,3.0,3.0,75.0,
11,2011,,,,,,23000.0,8.7,94166.703,152000.0,1170.0,2410.0,,,,14000.0,,,7.0,,,,11.0,6.0,54.546,3.0,11.0,75.0,
12,2012,35.5372,27.907,,,,20000.0,8.1,90277.797,142000.0,1150.0,2330.0,,,33.3333,13500.0,,,6.0,,,55.3571,11.0,6.0,54.546,3.0,7.0,75.0,
13,2013,35.5372,27.907,,,,19000.0,8.1,92777.797,139000.0,1110.0,1740.0,,,33.3333,13000.0,,,8.0,,,55.3571,9.0,7.0,77.778,3.0,4.0,75.0,
14,2014,33.8843,24.8062,,,,19000.0,8.0,92500.0,147000.0,1240.0,1700.0,,,33.3333,13100.0,,,24.0,,,55.3571,11.0,9.0,81.818,3.0,4.0,75.0,
15,2015,36.3636,29.4574,,,,22800.0,8.03,97500.0,148000.0,1190.0,1328.0,,,33.3333,13000.0,,,30.0,,,55.3571,12.0,12.0,100.0,3.0,5.0,75.0,
16,2016,35.5372,31.0078,,,,21800.0,7.23,101667.0,155000.0,1240.0,1395.0,,,22.807,13000.0,,,,,,58.9286,11.0,11.0,100.0,3.0,5.0,75.0,
17,2017,42.1488,36.4341,,,,22900.0,8.057,113333.0,161800.0,1249.2,1388.0,,,33.3333,13400.0,17.0,,,,0.163,64.2857,11.0,11.0,100.0,1.0,4.0,75.0,0.0
18,2018,42.9752,40.3101,,,,23400.0,7.841,115556.0,108400.0,1284.0,1521.0,,0.984,33.3333,19450.0,17.0,,,,2.3,58.9286,12.0,11.0,91.667,1.0,11.0,,0.025
19,2019,,,,,,,,,,,,,,,19100.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
