,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,16.2679,,,,,,,,,,,,,8.7719,188000.0,,,,,,51.7857,9.0,8.0,88.89,1.0,8.0,75.0,
8,2008,16.2679,,,,,,,,,,,,,8.7719,182000.0,,,,,,51.7857,11.0,10.0,90.91,1.0,12.0,75.0,
9,2009,16.2679,,,,,,,,,,,,,8.7719,167000.0,,,,,,51.7857,11.0,10.0,90.91,1.0,6.0,75.0,
10,2010,21.5311,6.25,,,,,,,,,,,,14.0351,161000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
11,2011,22.9665,6.25,,,,,,,,,,,,19.2982,166000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
12,2012,28.7081,13.5417,,,,,,,,,,,,28.0702,171000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
13,2013,30.1435,13.5417,,,,,,,,,,,,33.3333,175700.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,34.4498,16.6667,,,,,,,,,116.479,,,49.1228,172500.0,75.0,,,,26.0,50.0,10.0,9.0,90.0,1.0,7.0,,
15,2015,40.1914,26.0417,,,,,,1819.51,,,113.259,,,49.1228,166900.0,75.0,,,,27.0,55.3571,12.0,11.0,91.667,1.0,8.0,75.0,
16,2016,40.1914,26.0417,,,,,,1744.11,,,113.259,,,49.1228,157900.0,75.0,,,,27.0,55.3571,14.0,13.0,92.857,1.0,8.0,75.0,
17,2017,38.2775,25.0,,,,,,1919.53,,,,,,43.8596,140000.0,75.0,,,,18.0,55.3571,12.0,10.0,83.333,1.0,9.0,75.0,
18,2018,32.5359,25.0,,,,,,1864.47,,,,,,22.807,130000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
19,2019,39.7129,28.125,,,,,,1250.0,,,,,,43.8596,130000.0,75.0,57.0,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
