,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,12.8099,,,,,,,,,,,,,3.5088,4300.0,,,,,,51.7857,9.0,8.0,88.889,3.0,5.0,75.0,
6,2006,12.8099,,,,,,,,,,,,,3.5088,4600.0,,,,,,51.7857,11.0,9.0,81.818,3.0,6.0,75.0,
7,2007,12.8099,,,,,,,,,,,,,3.5088,5000.0,,,,,,51.7857,12.0,10.0,83.333,3.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,5500.0,,,,,,51.7857,12.0,10.0,83.333,3.0,8.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,5100.0,,,,,,51.7857,12.0,9.0,75.0,3.0,8.0,75.0,
10,2010,,,,,,,,,,,,,,,5600.0,,,,,,,11.0,10.0,90.909,1.0,8.0,75.0,
11,2011,15.2893,2.3256,,,,,,,,,,,,8.7719,6700.0,,,,,,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
12,2012,17.7686,4.6512,,,,,,,,,,,,14.0351,7500.0,,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
13,2013,19.0083,4.6512,,,,,,,,,,,,19.2982,8200.0,,,,,,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
14,2014,20.2479,4.6512,,,,,,,,,,,,24.5614,10300.0,40.0,,,,,51.7857,13.0,12.0,92.308,1.0,5.0,75.0,
15,2015,23.9669,11.6279,,,,,,,,,,,,24.5614,11300.0,40.0,,,,,51.7857,13.0,12.0,92.308,1.0,5.0,75.0,
16,2016,23.9669,11.6279,,,,,,,,,,,,24.5614,11900.0,40.0,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
17,2017,41.7355,27.907,,,,84.761,,,567.838,,,,,43.8596,13400.0,39.0,30.0,,,2.472,71.4286,12.0,11.0,91.667,1.0,6.0,75.0,0.003
18,2018,45.4545,32.5581,,,,57.687,,119.951,454.27,,,,,49.1228,14800.0,39.0,29.0,,,2.972,71.4286,15.0,14.0,93.333,1.0,5.0,75.0,0.036
19,2019,,,,,,,,,,,,,,,18600.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
