,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.6364,,,,,,,,,,,,,3.5088,1170.0,,,,,,55.3571,9.0,6.0,66.667,3.0,7.0,75.0,
8,2008,13.6364,,,,,,,,,,,,,3.5088,1173.0,,,,,,55.3571,8.0,6.0,75.0,1.0,6.0,75.0,
9,2009,13.6364,,,,,,,,,,,,,3.5088,1204.0,,,,,,55.3571,8.0,6.0,75.0,1.0,8.0,75.0,
10,2010,13.6364,,,,,,,,,,,,,3.5088,1389.0,,,,,,55.3571,8.0,6.0,75.0,1.0,13.0,75.0,
11,2011,13.6364,,,,,,,,,,,,,3.5088,1466.0,,,,,,55.3571,8.0,7.0,87.5,1.0,10.0,75.0,
12,2012,16.1157,,,,,,,,,,,,,14.0351,1446.0,,,,,,55.3571,8.0,7.0,87.5,1.0,13.0,75.0,
13,2013,16.1157,,,,,,,,,,,,,14.0351,2241.0,,,,,,55.3571,12.0,9.0,75.0,1.0,13.0,72.91,
14,2014,16.1157,,,,,,,,,,,,,14.0351,2090.0,,,,,,55.3571,12.0,9.0,75.0,1.0,5.0,75.0,
15,2015,16.1157,,,,,,,,,,,,,14.0351,1989.0,,,,,,55.3571,11.0,9.0,81.818,1.0,4.0,75.0,
16,2016,16.1157,,,,,,,,,,,,,14.0351,2528.0,,,,,,55.3571,13.0,10.0,76.923,1.0,6.0,75.0,
17,2017,17.3554,2.3256,,,,,,,,,,,,14.0351,2464.0,,,,,,55.3571,12.0,9.0,75.0,1.0,4.0,75.0,
18,2018,20.2479,7.7519,,,,,,,,,,,,14.0351,2552.0,,,,,,55.3571,12.0,10.0,83.333,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,2513.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
