,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,23.9669,11.6279,,,,2670.0,,5950.0,49600.0,,,,,24.5614,151000.0,,,,,26.5,51.7857,11.0,8.0,72.727,1.0,4.0,75.0,
8,2008,28.5124,16.2791,,,,2790.0,,6040.0,46700.0,,,,,28.0702,146000.0,,,,,24.8,57.1429,11.0,8.0,72.727,1.0,4.0,75.0,
9,2009,28.5124,16.2791,,,,2700.0,,5890.0,44200.0,,,,,28.0702,137000.0,,,,,21.4,57.1429,11.0,8.0,72.727,1.0,4.0,75.0,
10,2010,28.5124,16.2791,,,,2360.0,,5190.0,38300.0,,,,,28.0702,129000.0,,,,,23.8,57.1429,10.0,7.0,70.0,1.0,5.0,75.0,
11,2011,34.2975,22.4806,,,,2800.0,,6360.0,52300.0,,,,,33.3333,144260.0,,,,,15.6,62.5,10.0,7.0,70.0,1.0,8.0,75.0,
12,2012,33.0579,22.4806,,,,3550.0,,8100.0,55300.0,,,,,38.5965,199318.0,52.0,,,,23.2,51.7857,11.0,8.0,72.727,1.0,5.0,75.0,
13,2013,34.2975,22.4806,,,,3470.0,,8480.0,57200.0,,,,,38.5965,199929.0,52.0,,,,23.8,57.1429,12.0,9.0,75.0,1.0,4.0,75.0,
14,2014,38.0165,29.4574,,,,3771.83,,9310.0,64350.0,,,,,38.5965,123500.0,52.0,,,,26.4,57.1429,11.0,8.0,72.727,1.0,5.0,75.0,
15,2015,41.7355,36.4341,,,,3915.13,,9218.04,66210.0,,,,,38.5965,127500.0,53.0,,,,33.0,57.1429,11.0,8.0,72.727,1.0,7.0,75.0,
16,2016,44.6281,39.5349,,,,6833.91,,16825.0,125600.0,,,,,38.5965,226500.0,53.0,,,,28.6,62.5,14.0,11.0,78.571,1.0,7.0,75.0,
17,2017,49.1736,41.8605,,,,6417.8,,17655.9,121984.0,,,,,43.8596,176810.0,51.0,50.0,,,50.3,71.4286,14.0,11.0,78.571,1.0,4.0,75.0,0.145
18,2018,49.1736,44.9612,1344.84,,,6836.3,,18634.1,129221.0,,126.748,,,47.3684,176000.0,54.0,45.7,,,47.9,60.7143,13.0,10.0,76.923,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
