,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,34.7107,31.0078,,602.05,0.385,,0.506,1565.0,,4300.0,103900.002,,,17.5439,57000.0,,,,,,60.7143,10.0,9.0,90.0,3.0,6.0,75.0,
7,2007,32.6446,33.3333,,802.731,0.542,,0.251,1479.74,2010.15,97.164,303.196,0.0,0.0,3.5088,52000.0,,,,,,60.7143,11.0,9.0,81.818,3.0,9.0,75.0,0.027
8,2008,32.6446,33.3333,,716.997,0.535,,0.156,1340.37,1923.08,62.796,232.153,0.0,0.0,3.5088,39000.0,,,,,,60.7143,10.0,8.0,80.0,3.0,7.0,75.0,0.025
9,2009,,,197.975,553.25,0.59,,0.141,936.962,1453.66,44.791,175.483,0.0,0.0,,35400.0,,,,,,,10.0,8.0,80.0,3.0,5.0,75.0,0.004
10,2010,13.6364,,,,,,,,,,,,,3.5088,32500.0,,,,,,55.3571,9.0,7.0,77.778,3.0,5.0,75.0,
11,2011,,,,,,,,,,,,,,,31000.0,,,,,,,9.0,7.0,77.778,3.0,5.0,,
12,2012,22.314,16.2791,,,,384.043,,1174.52,,,,,,3.5088,30000.0,,,,,,55.3571,10.0,8.0,80.0,3.0,5.0,75.0,
13,2013,13.6364,,,,,,,,,,,,,3.5088,32000.0,,,,,,55.3571,10.0,8.0,80.0,3.0,6.0,75.0,
14,2014,13.6364,,,,,,,,,,,,,3.5088,32000.0,,,,,,55.3571,11.0,9.0,81.818,3.0,8.0,75.0,
15,2015,33.4711,27.907,,,,297.005,,831.663,1593.0,,,,,14.0351,25000.0,,,,,,66.0714,11.0,9.0,81.818,3.0,7.0,75.0,0.0
16,2016,29.3388,17.8295,,,,,,822.222,1068.0,,,,,19.2982,26000.0,,,,,,66.0714,10.0,8.0,80.0,3.0,5.0,75.0,0.01
17,2017,28.0992,17.8295,,,,,,838.889,1047.0,,,,,19.2982,26000.0,,,,,,60.7143,11.0,9.0,81.818,3.0,7.0,75.0,0.0
18,2018,31.405,19.3798,,,,,,913.889,1102.0,,,,,24.5614,26000.0,,,,,1.0,66.0714,11.0,9.0,81.818,3.0,6.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,18000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
