,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,26.3158,16.6667,,,,,,,,,,,,22.807,447000.0,,,,,13.3,46.4286,14.0,12.0,85.714,3.0,9.0,,
6,2006,27.7512,16.6667,,,,,,,,,,,,28.0702,421000.0,,26.4,,,13.6,46.4286,13.0,12.0,92.308,3.0,9.0,,
7,2007,27.7512,16.6667,,,,,,,,,,,,28.0702,390000.0,,26.7,,,10.6,46.4286,14.0,12.0,85.714,3.0,9.0,,
8,2008,29.1866,16.6667,,,,,,,,,,,,28.0702,400000.0,,27.0,,,15.2,51.7857,14.0,12.0,85.714,3.0,7.0,,
9,2009,30.1435,18.75,,,,,,,,,,,,28.0702,385000.0,,26.5,,,19.0,51.7857,13.0,12.0,92.308,3.0,7.0,,
10,2010,31.5789,18.75,,,,,,,,,,,,28.0702,400000.0,,28.1,,,24.0,57.1429,13.0,12.0,92.308,3.0,8.0,96.31,
11,2011,31.5789,18.75,,,,,,,,,,,,28.0702,420000.0,,31.0,,,34.0,57.1429,14.0,12.0,85.714,3.0,8.0,90.0,
12,2012,37.3206,34.375,,,,1899.0,,2875.0,,,,,,22.807,440000.0,,,,,23.6,57.1429,13.0,12.0,92.308,3.0,8.0,90.0,
13,2013,40.1914,37.5,,,,1843.0,,2903.0,,,,,,28.0702,440000.0,,28.0,,,21.7,57.1429,13.0,12.0,92.308,3.0,6.0,75.0,
14,2014,40.1914,37.5,,,,1953.0,,2983.0,,,,,,28.0702,420000.0,,27.0,,,,57.1429,13.0,12.0,92.308,1.0,8.0,94.46,
15,2015,38.756,37.5,,,,2223.0,,2829.0,,,,,,28.0702,420000.0,,27.0,,,,51.7857,14.0,13.0,92.857,1.0,10.0,98.0,
16,2016,38.756,40.625,,,,1962.0,,3778.25,,,,,,22.807,375000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,8.0,95.0,
17,2017,42.1053,47.9167,110.353,,,951.805,,2399.91,,,,,,22.807,235000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,97.0,
18,2018,33.0144,21.875,,,,,,,,,,,,33.3333,210000.0,57.0,34.0,,,,51.7857,11.0,10.0,90.909,1.0,6.0,98.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
