,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,4811.0,,,,,,,5.0,4.0,80.0,1.0,9.0,97.78,
9,2009,14.0496,,,,,,,,,,,,,8.7719,4895.0,,,,,,51.7857,5.0,4.0,80.0,1.0,7.0,97.62,
10,2010,17.3554,6.2016,,,,,,,,,,,,8.7719,5418.0,,,,,,51.7857,5.0,4.0,80.0,1.0,10.0,94.0,
11,2011,27.2727,24.8062,,,,241.107,,371.477,,,,,,8.7719,6970.0,,,,,,51.7857,5.0,4.0,80.0,1.0,5.0,100.0,
12,2012,34.7107,29.4574,,,,284.401,,393.716,,,,0.0,0.0,29.8246,6923.0,,,,,53.0,51.7857,5.0,4.0,80.0,1.0,7.0,100.0,
13,2013,36.7769,29.4574,,,,302.326,,410.98,,,,0.0,0.0,38.5965,8003.0,,,,,10.7,51.7857,5.0,4.0,80.0,1.0,8.0,100.0,
14,2014,42.1488,34.8837,,,,366.329,,498.463,,,,1.0,,43.8596,9394.0,,,16.0,,10.7,57.1429,6.0,5.0,83.333,1.0,7.0,75.0,
15,2015,42.9752,36.4341,,,,372.585,,494.105,,,,0.0,0.0,43.8596,9471.0,,,20.0,,13.0,57.1429,5.0,4.0,80.0,1.0,9.0,75.0,
16,2016,42.9752,36.4341,,,,790.016,,854.911,,,,0.0,0.0,43.8596,12655.0,,,54.0,,16.0,57.1429,5.0,4.0,80.0,1.0,8.0,100.0,
17,2017,43.3884,39.5349,,,,769.919,,837.977,,,,0.0,0.0,38.5965,13842.0,,,33.0,,14.0,57.1429,5.0,4.0,80.0,1.0,6.0,75.0,
18,2018,26.4463,14.7287,,,,,,,,,,,,28.0702,14234.0,,,,,,51.7857,5.0,4.0,80.0,1.0,5.0,100.0,
19,2019,27.686,17.0543,,,,,,,,,,,,28.0702,18286.0,,,,,,51.7857,5.0,4.0,80.0,1.0,5.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
