,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,22.314,13.1783,,,,,,,,,,0.0,0.0,14.0351,31800.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
8,2008,26.4463,14.7287,,,,,,,,,,0.0,0.0,17.5439,32900.0,,,,,,62.5,9.0,8.0,88.889,1.0,7.0,75.0,
9,2009,28.5124,14.7287,,,,,,,,,,0.0,0.0,31.5789,32500.0,56.0,,,,,57.1429,10.0,9.0,90.0,1.0,8.0,75.0,
10,2010,28.5124,17.0543,,,,,,,,,,0.0,0.0,26.3158,32500.0,55.0,,,,,57.1429,9.0,8.0,88.89,1.0,7.0,75.0,
11,2011,22.7273,12.4031,,,,,,,,,,,,17.5439,36400.0,,,,,,51.7857,9.0,8.0,88.889,1.0,8.0,75.0,
12,2012,28.9256,15.5039,,,,,,,,,,0.0,0.0,31.5789,37700.0,54.0,,,,,57.1429,9.0,8.0,88.889,1.0,8.0,75.0,
13,2013,32.2314,19.3798,20.368,139.336,,,,,,,,,,36.8421,43500.0,55.0,,,,4.75,57.1429,9.0,8.0,88.889,1.0,10.0,75.0,
14,2014,31.405,19.3798,15.527,139.972,,,,,,,,,,33.3333,42800.0,53.0,,,,3.3,57.1429,9.0,8.0,88.889,1.0,10.0,75.0,
15,2015,33.8843,21.7054,46.958,189.061,,,,,,,,,,38.5965,70400.0,53.0,,,0.0,2.4,57.1429,11.0,10.0,90.909,1.0,7.0,75.0,
16,2016,37.6033,26.3566,92.194,281.106,,,,,315.857,,,,,38.5965,68000.0,54.0,,,0.0,3.06,62.5,11.0,10.0,90.909,1.0,9.0,75.0,0.309
17,2017,44.6281,37.2093,91.235,287.184,0.672,,,427.463,366.787,0.94,,,,43.8596,78000.0,53.0,,,,2.6,62.5,9.0,8.0,88.889,1.0,8.0,75.0,0.096
18,2018,43.8017,40.3101,124.911,303.296,0.343,,,883.326,339.45,0.681,,,,33.3333,78000.0,64.0,,,,4.3,62.5,8.0,7.0,87.5,1.0,7.0,75.0,0.11
19,2019,35.5372,27.1318,157.076,330.466,,,,,633.37,1.337,,,,33.3333,80000.0,65.0,,,,2.3,57.1429,9.0,8.0,88.889,1.0,8.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
