,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,3600.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,85.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,3900.0,,,,,,51.7857,9.0,8.0,88.89,3.0,10.0,83.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,4000.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,90.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,4500.0,,,,,,51.7857,9.0,8.0,88.89,3.0,7.0,83.0,
11,2011,18.595,4.6512,,,,,,,,,,,,17.5439,6100.0,,,,,,51.7857,9.0,8.0,88.89,3.0,6.0,86.0,
12,2012,19.8347,4.6512,,,,,,,,,,,,22.807,6800.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,88.0,
13,2013,22.314,4.6512,,,,,,,,,,,,22.807,8400.0,,,,,,62.5,10.0,9.0,90.0,3.0,6.0,84.0,
14,2014,25.6198,8.5271,,,,,,,,,,,,22.807,9884.0,,,,,,67.8571,9.0,8.0,88.889,3.0,11.0,90.0,
15,2015,24.3802,10.8527,,,,,,,,,,,,22.807,10370.0,,,,,,57.1429,9.0,8.0,88.889,1.0,11.0,92.0,
16,2016,32.2314,23.2558,,,,,,49.437,,,,,,28.0702,10617.0,,,,,0.675,57.1429,9.0,8.0,88.889,1.0,8.0,83.0,
17,2017,35.124,26.3566,,,,,,39.89,,,,,,28.0702,12000.0,,,,,0.831,62.5,9.0,8.0,88.889,1.0,8.0,84.0,
18,2018,39.6694,27.907,,,,,,41.892,,,,,,43.8596,13000.0,40.0,33.0,,,1.1,62.5,9.0,8.0,88.889,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,11000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
