,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,17.7686,6.9767,,,,2672.32,,,,,,,,8.7719,90000.0,,,,,,51.7857,9.0,7.0,77.778,1.0,10.0,80.0,
7,2007,17.7686,6.9767,,,,2532.93,,,,,,,,8.7719,103000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,18.0,88.0,
8,2008,17.7686,6.9767,,,,2581.28,,,,,,,,8.7719,98000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,9.0,75.0,
9,2009,28.9256,18.6047,,,,,,,,,,,,19.2982,97000.0,,,,4.0,,62.5,12.0,11.0,91.667,1.0,16.0,75.0,
10,2010,25.2066,14.7287,,,,,,,,,,,,19.2982,127000.0,,,,4.0,,55.3571,12.0,11.0,91.67,1.0,10.0,85.0,
11,2011,23.5537,7.7519,,,,,,,,,,,,24.5614,126000.0,,,,,100.0,58.9286,11.0,10.0,90.909,1.0,14.0,87.0,
12,2012,23.9669,10.0775,,,,,,,,,,,,24.5614,110000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,11.0,75.0,
13,2013,27.2727,16.2791,,,,,,,,,,,,24.5614,107000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,9.0,82.0,
14,2014,36.7769,34.1085,,,,1827.19,,11330.3,,,,,,24.5614,104000.0,,,,,,55.3571,13.0,12.0,92.308,1.0,12.0,,
15,2015,37.1901,32.5581,,,,1690.65,,5737.69,,,,,,24.5614,99000.0,,,,,,60.7143,12.0,11.0,91.667,1.0,8.0,92.0,
16,2016,42.1488,39.5349,,,,1698.1,,5951.35,,,,,,24.5614,90000.0,,,,,,66.0714,13.0,12.0,92.308,1.0,14.0,91.857,0.034
17,2017,45.8678,44.9612,,,,1631.24,,5031.61,15860.0,,,,,24.5614,83000.0,,,,,,69.6429,13.0,11.0,84.615,1.0,10.0,86.84,0.041
18,2018,45.8678,44.9612,,,,1781.22,,5026.18,15334.0,,,,,24.5614,80000.0,,,,,,69.6429,13.0,12.0,92.308,1.0,8.0,92.92,0.022
19,2019,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
