,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,24.7934,17.8295,,,,300.0,,,1239.66,,,,,14.0351,36000.0,,,,,,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
7,2007,29.3388,21.7054,,,,252.0,,,1324.95,,12.97,,,24.5614,37430.0,46.0,,,,22.833,51.7857,12.0,10.0,83.333,3.0,7.0,75.0,
8,2008,36.7769,29.4574,,,,250.0,,494.0,1400.0,,13.7,,,33.3333,38229.0,47.0,,,,23.65,57.1429,12.0,10.0,83.333,3.0,8.0,75.0,
9,2009,35.5372,29.4574,,,,250.0,,490.0,1200.0,,13.7,,,33.3333,39198.0,47.0,,,,22.5,51.7857,11.0,10.0,90.909,1.0,8.0,75.0,
10,2010,36.3636,28.6822,,,,225.0,,481.0,1200.0,,13.6,,,33.3333,39986.0,46.0,,,0.0,27.972,57.1429,11.0,10.0,90.91,1.0,6.0,75.0,
11,2011,35.9504,26.3566,,,,237.0,,503.0,1100.0,,14.4,,,42.1053,43234.0,49.0,,,,19.2,51.7857,11.0,10.0,90.909,1.0,11.0,75.0,
12,2012,36.3636,27.1318,,,,241.0,,508.0,1200.0,,14.294,,,42.1053,42471.0,49.0,,,1.0,22.89,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
13,2013,38.0165,30.2326,,,,198.0,,522.0,1300.0,,14.44,,,42.1053,46000.0,49.0,,,,30.7,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,42.1488,31.0078,,,,200.0,,530.0,1300.0,,14.675,,,47.3684,49000.0,49.0,,,,38.8,62.5,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,40.9091,31.0078,,,,197.0,,524.0,1200.0,,14.9,,,47.3684,46368.0,49.0,,,,42.8,57.1429,13.0,12.0,92.308,1.0,13.0,75.0,
16,2016,38.0165,27.1318,,,,462.0,,1224.0,3334.35,,50.067,,,43.8596,90549.0,49.0,,,0.0,66.4,57.1429,13.0,12.0,92.308,1.0,6.0,75.0,
17,2017,39.6694,25.5814,,,,493.0,,1282.0,3070.93,,42.067,,,50.8772,94834.0,49.317,,,0.0,60.2,60.7143,12.0,11.0,91.667,1.0,5.0,75.0,
18,2018,39.6694,25.5814,,,,299.0,,908.874,2200.0,,25.367,,0.009,50.8772,89496.0,49.26,,,0.0,70.3,60.7143,12.0,11.0,91.667,1.0,4.0,75.0,
19,2019,38.843,24.031,,,,289.0,,862.04,2109.0,,28.578,,,50.8772,90108.0,49.57,,,0.0,66.4,60.7143,11.0,10.0,90.909,1.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
