,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.3509,,,,,,,,,,,,,11.6667,49000.0,,,,,2.755,50.0,16.0,15.0,93.75,3.0,10.0,,
8,2008,18.4211,8.0357,,,,115.961,,,,,,,,8.3333,57000.0,,,,,2.775,50.0,13.0,12.0,92.308,3.0,12.0,,
9,2009,17.1053,2.6786,,,,,,,,,,,,8.3333,54000.0,,,,,2.629,55.3571,15.0,14.0,93.333,3.0,14.0,75.0,
10,2010,19.7368,5.3571,,,,,,,,,,,,13.3333,66000.0,,,,,3.159,55.3571,13.0,12.0,92.308,3.0,12.0,74.84,
11,2011,32.4561,33.9286,,,,28.826999999999998,,,341.017,,2.63,,,8.3333,67000.0,,,,,,55.3571,13.0,12.0,92.308,3.0,11.0,75.0,
12,2012,31.1404,31.25,,,,25.983,,,328.717,,2.775,,,8.3333,64000.0,,,,,,55.3571,13.0,12.0,92.308,3.0,11.0,75.0,
13,2013,45.1754,50.0,,,,26.615,,210.228,269.787,,2.824,,,21.6667,63094.0,48.06,,,,,60.7143,12.0,11.0,91.667,1.0,8.0,75.0,
14,2014,45.1754,47.3214,,,,133.654,,205.101,284.15,,2.864,,,21.6667,67390.0,47.41,,,,6.0,66.0714,12.0,11.0,91.667,1.0,7.0,75.0,
15,2015,43.8596,44.6429,,,,129.907,,191.588,,,3.142,,,21.6667,68138.0,47.63,,,,6.43,66.0714,12.0,11.0,91.667,1.0,8.0,75.0,
16,2016,45.1754,44.6429,,,,126.751,,327.609,,,2.914,,,26.6667,57889.0,49.04,,,,4.64,66.0714,13.0,12.0,92.308,1.0,10.0,75.0,
17,2017,48.2456,46.4286,15.929,,,123.948,,288.371,,,2.9370000000000003,,,31.6667,47867.0,52.193,,,,5.01,69.6429,11.0,10.0,90.909,1.0,8.0,75.0,
18,2018,47.807,42.8571,15.952,,,112.483,,288.457,,,,,,36.6667,47266.0,52.421,34.42,,,6.48,69.6429,12.0,11.0,91.667,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,49000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
