,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,18.1818,7.7519,,,,,,,17777.1,,,,,8.7719,54700.0,,,,,,51.7857,15.0,11.0,73.333,1.0,8.0,75.0,
8,2008,18.1818,7.7519,,,,,,,16512.699,,,,,8.7719,46000.0,,,,,,51.7857,13.0,10.0,76.923,1.0,12.0,75.0,
9,2009,18.1818,7.7519,,,,,,,16066.0,,,,,8.7719,46000.0,,,,,,51.7857,13.0,11.0,84.615,1.0,27.0,75.0,
10,2010,23.1405,19.3798,,,,,,,15547.4,,,,,8.7719,45000.0,,,,,,46.4286,12.0,10.0,83.333,1.0,14.0,,
11,2011,19.8347,10.8527,,,,,,,,,,,,8.7719,45000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,13.0,75.0,
12,2012,22.314,13.1783,,,,,,,,,,,,14.0351,50050.0,,,,,2.644,51.7857,10.0,7.0,70.0,1.0,13.0,75.0,
13,2013,23.1405,12.4031,,,,,,,,,,,,19.2982,67800.0,,,,,6.44,51.7857,12.0,9.0,75.0,1.0,10.0,75.0,
14,2014,23.9669,12.4031,,,,,,,,,,,,22.807,62000.0,,,,,5.052,51.7857,11.0,8.0,72.727,1.0,10.0,75.0,
15,2015,26.0331,16.2791,,,,,,,,,119.273,,,22.807,59500.0,,,,,11.38,51.7857,11.0,8.0,72.727,1.0,13.0,75.0,
16,2016,39.2562,32.5581,,,,690.0,,1975.55,17035.1,,71.482,,,38.5965,75000.0,51.12,,,,8.777,55.3571,10.0,7.0,70.0,1.0,11.0,75.0,
17,2017,38.4298,33.3333,,,,865.97,,2327.99,18978.0,,157.931,,,38.5965,77000.0,51.05,,,,13.501,50.0,11.0,8.0,72.727,1.0,14.0,,
18,2018,39.6694,33.3333,,,,815.188,,2318.63,19422.301,,168.288,,,38.5965,83000.0,50.84,,,,6.34,55.3571,12.0,10.0,83.333,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
