,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,36200.0,,,,,,51.7857,10.0,7.0,70.0,3.0,8.0,75.0,
8,2008,13.6364,1.5504,,,,,,,,,,,,3.5088,31200.0,,,,,,51.7857,10.0,7.0,70.0,3.0,6.0,75.0,
9,2009,28.0992,15.5039,,,,1854.38,,5199.74,,,,,,22.807,27400.0,,,,,,62.5,10.0,7.0,70.0,3.0,6.0,75.0,
10,2010,43.8017,35.6589,,,,2055.13,,6190.49,,3.475,658.804,,,43.8596,26877.0,40.0,,,,,62.5,10.0,7.0,70.0,3.0,7.0,75.0,
11,2011,44.6281,34.8837,,,,1988.85,,6001.11,,1.847,482.17,,,43.8596,26200.0,32.0,,,,,67.8571,10.0,7.0,70.0,3.0,5.0,100.0,
12,2012,44.6281,34.8837,,,,1512.11,,3459.55,,3.339,545.333,,,43.8596,25100.0,31.0,,,,,67.8571,10.0,7.0,70.0,3.0,7.0,90.0,
13,2013,47.9339,41.0853,,,,2322.64,,9405.57,12773.7,4.266,750.089,,,43.8596,32117.0,31.22,,,,,67.8571,8.0,5.0,62.5,3.0,5.0,90.0,
14,2014,49.1736,43.4109,,,,2325.13,,8598.67,13684.8,3.422,2725.23,,,43.8596,31774.0,30.0,,,,,67.8571,9.0,6.0,66.667,3.0,5.0,90.0,
15,2015,47.1074,41.8605,,,,2835.09,,10445.0,14083.9,9.408,1109.68,,,43.8596,36736.0,30.0,,,,,62.5,9.0,6.0,66.667,3.0,5.0,75.0,
16,2016,46.6942,41.8605,,,,2822.55,,10763.8,11730.0,9.227,1023.61,,,47.3684,37660.0,30.0,,,,,57.1429,9.0,6.0,66.667,3.0,5.0,75.0,
17,2017,28.0992,16.2791,,,,,,,,,,,,28.0702,38800.0,,,,,1.5,55.3571,9.0,6.0,66.667,3.0,5.0,75.0,
18,2018,24.7934,14.7287,,,,,,,,,,,,17.5439,42100.0,,,,,,55.3571,8.0,6.0,75.0,3.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
