,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.5124,25.5814,,,,,0.01,,860.0,0.024,20.0,,,8.7719,7500.0,,,,,,55.3571,12.0,9.0,75.0,1.0,7.0,75.0,
8,2008,38.0165,41.0853,11.997,60.469,,60.469,0.01,,822.0,0.024,18.0,0.0,0.0,8.7719,7500.0,,,,,,60.7143,11.0,9.0,81.818,1.0,7.0,75.0,0.0
9,2009,53.719,58.1395,11.91,65.679,0.428,65.679,0.01,153.48,706.0,0.024,17.0,1.0,25.0,33.3333,7500.0,,,,,4.6,64.2857,10.0,9.0,90.0,1.0,6.0,75.0,0.002
10,2010,33.8843,21.7054,,,,74.71,,,899.512,,,,,43.8596,7500.0,,29.0,,,4.3,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
11,2011,33.8843,21.7054,,,,72.351,,,922.436,,,,,43.8596,9000.0,,26.0,,,5.7,51.7857,11.0,9.0,81.818,1.0,7.0,75.0,
12,2012,,,,,,74.891,,202.296,982.184,,32.26,,,,9000.0,,25.0,,,6.1,,12.0,10.0,83.333,1.0,6.0,75.0,
13,2013,37.1901,34.8837,,,,87.246,,233.041,977.346,,29.497,,,28.0702,10000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,44.6281,41.8605,,,,103.297,0.043,270.944,1342.24,,33.006,,,38.5965,10000.0,,29.0,,,7.0,57.1429,10.0,8.0,80.0,1.0,8.0,75.0,0.0
15,2015,33.4711,21.7054,,,,,0.014,,,,,,,33.3333,10000.0,,28.0,,,,60.7143,11.0,8.0,72.727,1.0,10.0,75.0,0.0
16,2016,46.6942,34.8837,,,,91.782,0.014,260.394,,,,,,54.386,11000.0,37.0,27.0,,0.0,6.8,66.0714,11.0,8.0,72.727,1.0,7.0,75.0,0.0
17,2017,41.3223,34.1085,,,,109.789,0.019,308.91,,,47.655,,,43.8596,11700.0,,27.0,,0.0,,55.3571,11.0,10.0,90.909,1.0,10.0,75.0,
18,2018,40.9091,37.9845,,,,125.492,,381.377,2200.0,,54.104,,,33.3333,11600.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,12400.0,,,,,,,10.0,9.0,90.0,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
