,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,18.595,9.3023,,,,263.359,,,,,,,,3.5088,55000.0,,,,,,55.3571,10.0,9.0,90.0,3.0,19.0,94.0,
6,2006,12.8099,,,,,,,,,,,,,3.5088,55200.0,,,,,,51.7857,12.0,11.0,91.667,3.0,15.0,93.0,
7,2007,12.8099,,,,,,,,,,,,,3.5088,56000.0,,,,,,51.7857,12.0,11.0,91.667,3.0,17.0,93.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,54400.0,,,,,,51.7857,12.0,11.0,91.667,1.0,12.0,93.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,52000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,12.0,94.0,
10,2010,23.9669,13.9535,,,,,,,,,,,,14.0351,51000.0,,,,,,57.1429,12.0,11.0,91.67,1.0,12.0,93.0,
11,2011,25.2066,13.9535,,,,,,,,,,,,19.2982,52400.0,,,,,,57.1429,11.0,10.0,90.91,1.0,13.0,97.0,
12,2012,23.9669,11.6279,,,,,,,,,,,,19.2982,54000.0,,,,,7.98,57.1429,13.0,12.0,92.31,1.0,11.0,93.0,
13,2013,19.8347,4.6512,,,,,,,,,,,,22.807,55000.0,,,,,8.454,51.7857,12.0,11.0,91.667,1.0,11.0,96.0,
14,2014,26.4463,11.6279,,,,,,,,,,,,26.3158,57000.0,,,,,8.123,60.7143,12.0,11.0,91.667,1.0,11.0,93.0,
15,2015,19.4215,4.6512,,,,,,,,,,,,17.5439,60000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,9.0,96.0,
16,2016,19.4215,4.6512,,,,,,,,,,,,17.5439,60000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,10.0,75.0,
17,2017,18.595,4.6512,,,,,,,,,,,,14.0351,65000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,19.8347,,,,,,,,,,,,,29.8246,65000.0,53.88,36.46,,,,55.3571,12.0,11.0,91.667,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,76000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
