,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,21.4876,14.7287,,,,11650.0,,8290.8,47019.0,,,,,3.5088,69315.0,,,,,,55.3571,11.0,10.0,90.909,3.0,11.0,94.6,
6,2006,27.686,25.5814,,,,10270.0,,8055.6,45794.0,,,,,8.7719,75333.0,,,,,,51.7857,10.0,9.0,90.0,1.0,8.0,98.89,
7,2007,37.6033,41.8605,,,,8450.0,,8055.6,45290.0,,,,,19.2982,76239.0,,,,0.0,,46.4286,10.0,9.0,90.0,1.0,7.0,,
8,2008,41.3223,41.8605,,,,6790.0,,7938.0,43000.0,,,,,19.2982,79183.0,,,,0.0,,62.5,10.0,9.0,90.0,1.0,9.0,93.0,
9,2009,48.3471,53.4884,,,,4900.0,,6994.26,37970.0,34.0,3293.0,67.0,0.009,28.0702,74835.0,,,,0.0,28.34,57.1429,10.0,9.0,90.0,1.0,6.0,97.0,
10,2010,50.4132,53.4884,,,,6200.0,,7773.36,43070.0,42.0,3126.0,93.0,0.17,31.5789,80057.0,,,,1.0,58.79,62.5,10.0,9.0,90.0,1.0,6.0,97.0,
11,2011,51.2397,54.2636,,,,6090.0,,7841.04,41290.0,41.0,2944.0,102.0,0.026,33.3333,83253.0,,,,0.0,60.3,62.5,10.0,9.0,90.0,1.0,8.0,99.0,
12,2012,56.6116,57.3643,,,,6780.0,,8184.49,59430.0,40.0,2459.0,,0.021,43.8596,86557.0,33.7,24.6,,1.0,61.6,67.8571,10.0,9.0,90.0,1.0,8.0,98.0,
13,2013,57.8512,57.3643,,,,7950.0,,8442.19,59176.602,38.865,2828.22,,0.06,49.1228,89583.0,33.7,,,1.0,30.287,67.8571,12.0,11.0,91.667,1.0,7.0,98.0,
14,2014,57.438,58.9147,,,,6640.0,,8532.96,40806.5,41.2,439.001,1.0,0.1,49.1228,90749.0,33.9,,,0.0,62.32,62.5,10.0,9.0,90.0,1.0,9.0,97.0,
15,2015,53.719,50.3876,,,,5630.0,,8261.4,,44.1,441.3,,,49.1228,90400.0,33.9,,,0.0,52.656,66.0714,11.0,10.0,90.909,1.0,8.0,97.0,
16,2016,54.5455,50.3876,,,,5980.0,,8526.0,,43.9,442.7,,,49.1228,92500.0,34.8,,,1.0,48.1,69.6429,12.0,11.0,91.667,1.0,6.0,99.0,
17,2017,55.7851,52.7132,,,,5840.0,,8702.4,,43.8,464.7,,,49.1228,92400.0,34.7,,,0.0,73.5,69.6429,12.0,11.0,91.667,1.0,7.0,98.0,
18,2018,56.1983,53.4884,,,,6650.0,,8790.6,,43.4,463.6,,,49.1228,94300.0,35.4,,,0.0,66.3,69.6429,13.0,11.0,84.615,1.0,8.0,97.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
