,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,16.1157,1.5504,,,,,,,,,,,,14.0351,2180.0,,,,,,51.7857,7.0,5.0,71.43,1.0,7.0,97.9,
13,2013,16.1157,1.5504,,,,,,,,,,,,14.0351,2013.0,,,,,,51.7857,8.0,5.0,62.5,1.0,9.0,96.82,
14,2014,19.8347,8.5271,,,,,,,,,,,,14.0351,2001.0,,,,,,51.7857,8.0,5.0,62.5,1.0,7.0,92.86,
15,2015,19.8347,8.5271,,,,,,,,,,,,14.0351,2214.0,,,,,,51.7857,10.0,6.0,60.0,1.0,6.0,75.0,
16,2016,19.8347,8.5271,,,,,,,,,,,,14.0351,2646.0,,,,,,51.7857,10.0,6.0,60.0,1.0,6.0,75.0,
17,2017,19.8347,8.5271,,,,,,,,,,,,14.0351,2991.0,,,,,,51.7857,10.0,6.0,60.0,1.0,5.0,75.0,
18,2018,22.314,10.8527,,,,,,,,,,,,19.2982,3142.0,,,,,,51.7857,10.0,6.0,60.0,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
