,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,12.8099,,,,,,,,,,,,,3.5088,175000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,9.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,3.5088,84000.0,,,,,,57.1429,8.0,6.0,75.0,1.0,7.0,75.0,
8,2008,15.2893,,,,,,,,,,,,,8.7719,10400.0,,,,,60.0,57.1429,9.0,7.0,77.778,1.0,12.0,75.0,
9,2009,19.8347,,,,,,,,,,,,,33.3333,10000.0,36.0,,,0.0,54.2,51.7857,9.0,7.0,77.778,1.0,6.0,75.0,
10,2010,35.5372,21.7054,,,,538.74,,1432.24,9130.41,,56.38,,,47.3684,10000.0,36.0,,,0.0,49.1,55.3571,10.0,9.0,90.0,1.0,6.0,75.0,
11,2011,41.7355,26.3566,,,,548.98,,1469.17,7744.95,,132.9,,,52.6316,9000.0,36.0,,,0.0,48.2,66.0714,10.0,9.0,90.0,1.0,6.0,75.0,
12,2012,46.6942,37.9845,,,,520.24,,1506.97,8725.37,0.117,69.369,,,52.6316,9000.0,36.0,,,0.0,47.05,60.7143,11.0,10.0,90.909,1.0,8.0,87.5,
13,2013,50.0,37.9845,,,,500.776,,1443.54,8086.01,0.085,61.763,,,57.8947,9000.0,36.0,,,0.0,47.2,69.6429,11.0,10.0,90.909,1.0,8.0,95.0,
14,2014,48.3471,34.8837,,,,438.776,,1384.15,11250.8,0.091,46.349,,,57.8947,9000.0,37.0,,,1.0,51.6,69.6429,11.0,10.0,90.909,1.0,7.0,95.0,
15,2015,46.281,31.0078,,,,401.015,,1460.0,10535.3,0.089,45.531,,,57.8947,8000.0,37.0,,,0.0,50.8,69.6429,11.0,10.0,90.909,1.0,9.0,90.0,
16,2016,49.1736,36.4341,,,,380.858,,1320.06,9422.32,0.244,78.203,,,57.8947,8300.0,36.0,,,0.0,51.2,69.6429,11.0,10.0,90.909,1.0,6.0,84.0,
17,2017,54.9587,44.9612,,,,340.007,,1281.84,8299.63,0.134,41.54,0.0,0.0,57.8947,8300.0,37.0,,,0.0,54.7,75.0,11.0,10.0,90.909,1.0,6.0,84.0,
18,2018,54.5455,46.5116,,,,332.258,,1253.62,10444.8,0.15,46.771,0.0,0.0,57.8947,8300.0,37.0,,,0.0,74.4,69.6429,11.0,10.0,90.909,1.0,8.0,95.0,
19,2019,,,,,,,,,,,,,,,7300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
