,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,23.5537,10.0775,,,,,,,,,,,0.08,17.5439,7400.0,,,,,,60.7143,12.0,8.0,66.667,3.0,11.0,89.5,0.154
9,2009,29.7521,17.0543,,,,,,,,,,,0.017,22.807,7500.0,,,,,8.1,66.0714,13.0,9.0,69.231,3.0,7.0,90.0,0.089
10,2010,37.6033,32.5581,,,,4264.06,2.7,26277.801,,,,,,17.5439,7500.0,,,,1.0,,69.6429,12.0,9.0,75.0,3.0,13.0,75.0,0.182
11,2011,44.2149,35.6589,,,,3593.39,3.54,25805.6,,,,,,28.0702,7700.0,,,,0.0,11.6,80.3571,12.0,9.0,75.0,3.0,10.0,85.0,0.188
12,2012,45.4545,35.6589,,,,4509.58,4.5600000000000005,27138.9,,,,,,38.5965,8000.0,,,,,23.6,75.0,11.0,9.0,81.818,3.0,10.0,85.0,0.354
13,2013,66.1157,60.4651,,,,4410.25,4.5600000000000005,26981.301,1259090.0,,,1.0,0.245,59.6491,8044.0,15.79,15.57,,0.0,27.16,85.7143,12.0,10.0,83.333,3.0,10.0,80.0,0.201
14,2014,74.3802,72.8682,2868.42,4663.42,0.17,4721.1,3.55,27395.9,1177280.0,9.684,246480.0,0.0,0.0,73.6842,8717.0,14.97,15.48,,0.0,17.0,78.5714,12.0,11.0,91.667,1.0,8.0,87.0,0.166
15,2015,74.7934,71.3178,2960.0,4790.0,0.163,4790.0,4.2,29377.801,1157350.0,2.268,203041.0,0.0,0.0,73.6842,8523.0,15.48,16.78,,0.0,16.0,83.9286,13.0,11.0,84.615,1.0,8.0,94.0,0.227
16,2016,70.2479,65.1163,2950.0,4560.0,0.15,4560.0,,30394.4,1481440.0,2.324,241419.0,,8.0,68.4211,8341.0,15.142,,,0.0,17.0,83.9286,12.0,11.0,91.667,1.0,7.0,75.0,0.279
17,2017,66.5289,65.1163,,4160.0,0.142,4170.0,,29301.9,1627880.0,2.549,236685.0,0.0,0.0,57.8947,8225.0,15.06,,,0.0,12.444,78.5714,12.0,11.0,91.667,1.0,8.0,80.0,0.263
18,2018,64.4628,63.5659,,4210.0,0.114,5240.0,,37000.0,2015170.0,6.44,254838.0,0.0,0.0,57.8947,12639.0,13.4,,,0.0,12.415,73.2143,13.0,11.0,84.615,1.0,7.0,,0.637
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
