,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,24.7934,21.7054,,,,15500.0,,64974.0,,6.0,420.0,,,19.2982,25946.0,62.1,,,,,37.5,7.0,5.0,71.429,3.0,,,
11,2011,30.5785,24.031,,,,15000.0,,54096.0,,6.0,489.0,,,24.5614,24210.0,63.6,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,92.0,
12,2012,31.405,24.031,,,,15500.0,,68796.0,,9.0,517.0,,,24.5614,25985.0,64.7,,,,,55.3571,10.0,9.0,90.0,3.0,10.0,97.0,
13,2013,31.405,24.031,,,,23400.0,,93786.0,,15.0,552.0,,,24.5614,29865.0,64.8,,,,,55.3571,12.0,11.0,91.667,3.0,8.0,98.0,
14,2014,31.405,24.031,,,,23300.0,,106428.0,,13.0,548.0,,,24.5614,45340.0,61.3,,,,,55.3571,12.0,11.0,91.667,3.0,8.0,98.0,
15,2015,40.4959,36.4341,35300.0,,,43900.0,22.2,106428.0,,33.0,812.0,,,35.0877,45440.0,61.2,,771.0,0.0,,55.3571,12.0,10.0,83.333,3.0,13.0,98.0,
16,2016,42.562,37.9845,35900.0,,,45200.0,22.9,,,20.0,714.0,,,35.0877,44460.0,61.4,,797.0,0.0,,60.7143,11.0,10.0,90.909,3.0,12.0,96.0,0.218
17,2017,43.3884,37.9845,35800.0,,,44300.0,22.8,,,24.0,661.0,,,35.0877,43800.0,60.9,,704.0,0.0,,64.2857,11.0,9.0,81.818,3.0,9.0,99.0,0.091
18,2018,49.1736,37.9845,35500.0,,,44400.0,21.9,,,16.0,648.0,,,54.386,60350.0,46.0,15.0,739.0,1.0,,69.6429,12.0,10.0,83.333,3.0,11.0,95.0,2.509
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
