,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,39.2562,31.7829,,,,1440.0,0.468,5145.0,38234.402,60.9,,,0.281,33.3333,61000.0,49.0,,,0.0,,62.5,12.0,11.0,91.667,1.0,11.0,75.0,0.396
6,2006,41.3223,31.0078,,,,1360.0,0.306,4557.0,36341.602,62.3,,11.0,0.011,43.8596,60000.0,49.0,31.0,,0.0,,62.5,12.0,11.0,91.667,1.0,9.0,75.0,0.678
7,2007,40.0826,34.8837,,,,1360.0,0.303,4468.8,33313.102,54.0,85.6,13.0,0.032,29.8246,59800.0,48.0,,,1.0,,62.5,13.0,12.0,92.308,1.0,13.0,75.0,0.548
8,2008,41.7355,35.6589,,,,1180.0,0.297,3763.2,21199.301,46.8,73.8,7.0,1.58,35.0877,55200.0,50.0,,,1.0,,62.5,15.0,13.0,86.667,1.0,12.0,75.0,0.631
9,2009,50.0,47.2868,,,,2140.0,0.637,8143.8,38613.0,84.8,183.8,1.0,0.008,43.8596,100000.0,,,,2.0,,62.5,18.0,16.0,88.889,1.0,14.0,75.0,0.641
10,2010,52.8926,48.8372,,,,2080.0,0.684,7967.4,29061.9,85.3,188.3,9.0,0.07,49.1228,94000.0,,,,2.0,50.903,66.0714,17.0,16.0,94.118,1.0,9.0,74.76,
11,2011,54.1322,48.8372,,,,2090.0,0.652,7702.8,32177.5,81.0,197.0,14.0,1.532,49.1228,88000.0,,,,3.0,40.265,71.4286,17.0,16.0,94.118,1.0,6.0,75.0,0.48
12,2012,56.6116,48.8372,,,,1980.0,0.64,7350.0,46941.199,71.6,179.0,1.0,0.012,54.386,83000.0,,31.0,,1.0,34.066,76.7857,12.0,11.0,91.667,1.0,7.0,75.0,0.728
13,2013,51.6529,46.5116,,,,1860.3,0.594,7073.08,,56.0,106.0,1.0,0.001,54.386,77000.0,47.0,35.0,,,22.42,60.7143,12.0,11.0,91.667,1.0,7.0,75.0,
14,2014,53.719,48.062,,,,1676.0,0.544,6312.78,,46.0,87.0,4.0,0.082,59.6491,70000.0,48.0,31.0,,,24.174,60.7143,12.0,11.0,91.667,1.0,8.0,75.0,
15,2015,57.0248,54.2636,,,,1453.0,0.474,5924.14,,30.344,70.249,7.0,0.157,59.6491,68000.0,48.0,34.0,,,46.77,60.7143,14.0,13.0,92.857,1.0,8.0,75.0,
16,2016,59.9174,55.814,,,,1371.1,0.435,5800.03,,35.246,72.599,2.0,0.034,59.6491,68000.0,48.0,36.0,,,52.594,69.6429,13.0,12.0,92.308,1.0,8.0,75.0,
17,2017,59.9174,55.814,,,,1252.4,0.454,5295.19,,35.652,72.426,0.0,0.0,59.6491,69000.0,48.0,38.0,,,2754.66,69.6429,13.0,12.0,92.308,1.0,7.0,75.0,
18,2018,62.8099,58.9147,,,,1208.1,0.494,5309.25,,38.413,73.93,0.0,0.0,59.6491,69000.0,49.0,41.0,,2.0,2808.93,75.0,12.0,11.0,91.667,1.0,6.0,75.0,0.971
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
