,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,28.2158,22.314,,,,19550.0,22.867,74970.0,,,,,,18.75,27756.0,,,,0.0,17.4,51.7857,11.0,10.0,90.909,3.0,7.0,97.0,
6,2006,41.0788,33.8843,,,,19160.0,22.858,75558.0,,,,,,35.9375,28195.0,,,,0.0,13.5,62.5,12.0,11.0,91.667,1.0,10.0,96.0,0.435
7,2007,43.5685,36.3636,,,,19090.0,24.289,74676.0,,,,,,40.625,29524.0,49.0,,,4.0,14.5,62.5,11.0,10.0,90.909,1.0,8.0,97.0,0.311
8,2008,42.3237,33.8843,,,,18620.0,24.344,72000.602,,,,,,40.625,30360.0,50.0,,,0.0,16.5,62.5,12.0,11.0,91.667,1.0,8.0,98.0,0.571
9,2009,43.1535,35.5372,,,,18250.0,11.91,74970.0,,,,,,40.625,28855.0,47.3,,,1.0,17.5,62.5,12.0,11.0,91.667,1.0,8.0,99.0,0.327
10,2010,46.0581,36.3636,,,,4170.0,10.52,14700.0,,,,,,50.0,3062.0,27.5,18.1,,1.0,24.0,62.5,12.0,11.0,91.667,1.0,8.0,98.0,1.2
11,2011,46.888,38.0165,,,,4100.0,10.837,14788.2,,,,,,50.0,3322.0,26.9,18.3,,0.0,9.8,62.5,8.0,7.0,87.5,1.0,12.0,95.0,0.175
12,2012,47.7178,38.0165,,,,4950.0,19.711,20286.0,,,,,,50.0,3367.0,27.0,18.6,,0.0,29.8,66.0714,8.0,7.0,87.5,1.0,8.0,98.0,0.334
13,2013,43.5685,32.2314,,,,4780.0,21.296,22020.6,,,,,,45.3125,3359.0,27.7,,,0.0,30.7,66.0714,9.0,7.0,77.778,1.0,10.0,99.0,0.295
14,2014,44.8133,34.7107,,,,4490.0,20.973,16522.801,,,,,,45.3125,3330.0,27.9,,,0.0,29.3,66.0714,9.0,8.0,88.889,1.0,7.0,100.0,0.302
15,2015,44.8133,34.7107,,,,4650.0,23.295,16493.4,6359.78,,,,,45.3125,2610.0,25.2,,,0.0,24.2,66.0714,9.0,8.0,88.889,1.0,8.0,97.0,0.0
16,2016,47.3029,34.7107,,,,3260.0,21.53,13494.6,4610.84,,,,,54.6875,2302.0,25.42,,,0.0,17.4,66.0714,8.0,7.0,87.5,1.0,14.0,97.5,0.0
17,2017,46.888,36.3636,,,,3840.0,25.596,12847.8,11129.6,,,,,54.6875,2300.0,26.1,,,0.0,18.7,60.7143,8.0,7.0,87.5,1.0,12.0,95.9,
18,2018,50.2075,36.3636,,,,5360.0,29.05,13188.8,13101.2,,,,,62.5,2437.0,28.1,,,0.0,17.3,66.0714,7.0,6.0,85.714,1.0,11.0,94.0,101000.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
