,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,22.807,16.0714,,,,323.357,,736.48,,,,,,8.3333,48256.0,,,,,,51.7857,12.0,10.0,83.333,1.0,15.0,75.0,
8,2008,25.0,20.5357,,,,362.687,,800.151,,,,,,8.3333,46964.0,,,,,,51.7857,12.0,10.0,83.333,1.0,28.0,75.0,
9,2009,34.2105,30.3571,,,,371.539,,813.254,,,,,,20.0,61388.0,,,,,,57.1429,13.0,11.0,84.615,1.0,26.0,75.0,
10,2010,38.1579,33.0357,,,,359.073,,825.879,,,,,,30.0,62542.0,38.5,,,,,57.1429,12.0,9.0,75.0,1.0,15.0,75.0,
11,2011,39.9123,33.0357,,,,385.763,,896.272,,,,,,26.6667,61899.0,38.0,,,,,67.8571,14.0,10.0,71.429,1.0,15.0,75.0,0.0
12,2012,41.6667,33.0357,,,,346.781,,876.235,,,,,,26.6667,57061.0,37.0,,,,,75.0,14.0,11.0,78.571,1.0,16.0,75.0,
13,2013,42.9825,38.3929,,,,339.412,,845.228,,,1.837,,,26.6667,55794.0,37.0,,,,,69.6429,15.0,12.0,80.0,1.0,13.0,75.0,
14,2014,44.2982,38.3929,,,,327.24,,797.071,,,2.128,,,31.6667,55802.0,37.0,,,,,69.6429,15.0,12.0,80.0,1.0,16.0,75.0,
15,2015,42.9825,38.3929,,,,306.592,,765.126,,,2.295,,,31.6667,56218.0,38.0,,,,,64.2857,14.0,11.0,78.571,1.0,16.0,75.0,
16,2016,28.0702,15.1786,,,,,,,,,,,,18.3333,55311.0,,,,,,64.2857,15.0,12.0,80.0,1.0,19.0,75.0,
17,2017,30.7018,17.8571,,,,,,,,,,,,23.3333,58000.0,,,,,,64.2857,13.0,10.0,76.923,1.0,16.0,75.0,
18,2018,34.6491,17.8571,,,,,,,,,,,,38.3333,60000.0,37.82,18.97,,,,64.2857,13.0,10.0,76.923,1.0,16.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
