,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,10.7438,,,,,,,,,,,,,,,,,,,,46.4286,10.0,8.0,80.0,,9.0,75.0,
6,2006,18.1818,6.9767,,,,260.73,,,,,,,,14.0351,71000.0,,,,,387.0,48.2143,10.0,8.0,80.0,1.0,9.0,75.0,
7,2007,30.9917,18.6047,,,,276.34,,,,,,,,33.3333,79000.0,,,,,432.6,57.1429,10.0,9.0,90.0,1.0,12.0,75.0,
8,2008,37.1901,25.5814,,,,280.0,,,,,,,,43.8596,91259.0,,,,,498.0,57.1429,10.0,8.0,80.0,1.0,11.0,75.0,
9,2009,33.4711,18.6047,,,,,,,,,,,,38.5965,93000.0,,,,,516.9,62.5,10.0,8.0,80.0,1.0,9.0,75.0,0.887
10,2010,37.6033,20.9302,,,,,,,,,,,,47.3684,89000.0,24.0,,,,603.0,66.0714,9.0,7.0,77.778,1.0,7.0,75.0,1.472
11,2011,44.6281,29.4574,,,,,,,,0.0,10.943999999999999,0.0,0.0,52.6316,90000.0,24.0,,,,949.0,71.4286,9.0,7.0,77.778,1.0,8.0,75.0,1.085
12,2012,45.8678,35.6589,,,,,,2657.46,,3.258,19.924,0.0,0.0,49.1228,94000.0,24.0,,,,904.0,66.0714,11.0,9.0,81.818,1.0,8.0,75.0,
13,2013,51.6529,44.186,32.18,,,1317.03,,3053.24,2860.26,,21.894,,,54.386,99000.0,24.0,,,,907.0,66.0714,9.0,7.0,77.778,1.0,10.0,75.0,1.256
14,2014,55.3719,55.814,72.043,,,1606.56,0.027,3889.75,4452.75,0.172,24.175,,,43.8596,128000.0,28.0,,,,1068.0,66.0714,9.0,7.0,77.778,1.0,12.0,75.0,0.0
15,2015,58.6777,59.6899,76.306,,,1728.0,0.02,4194.7,4633.49,0.419,30.41,,,49.1228,118000.0,28.0,17.3,,,1057.0,66.0714,10.0,8.0,80.0,1.0,8.0,75.0,0.0
16,2016,56.1983,59.6899,70.399,,,2149.02,0.026,5187.18,4687.75,1.923,31.243,,,43.8596,114000.0,25.8,17.9,,,1240.0,60.7143,11.0,9.0,81.818,1.0,10.0,75.0,
17,2017,59.0909,61.2403,73.113,,,2790.35,0.027,6718.94,5271.05,2.188,24.701999999999998,,,43.8596,124000.0,25.9,19.1,,,1382.0,69.6429,12.0,10.0,83.333,1.0,6.0,75.0,
18,2018,60.3306,63.5659,73.151,,,3091.25,0.029,7955.32,7202.45,1.405,19.066,,,43.8596,131000.0,26.6,19.7,,,1614.0,69.6429,14.0,12.0,85.714,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,144000.0,,,,,,,14.0,12.0,85.714,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
