,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,24.7934,20.9302,,,,649.756,,713.6,2332.0,0.223,,0.0,0.0,3.5088,66000.0,,,,,,55.3571,13.0,12.0,92.308,1.0,7.0,91.0,
7,2007,36.3636,33.3333,,,,619.602,,690.5,3027.0,0.67,11.097,0.0,0.0,22.807,66000.0,33.0,,,,,57.1429,13.0,10.0,76.923,1.0,12.0,95.0,
8,2008,36.7769,38.7597,,,,531.661,,955.0,2699.0,0.509,8.952,1.0,0.0,17.5439,64000.0,,,,,,51.7857,15.0,12.0,80.0,1.0,15.0,81.0,
9,2009,41.7355,41.0853,,,,433.373,,866.0,2308.0,0.458,5.914,0.0,0.0,28.0702,53000.0,31.0,,,,,57.1429,12.0,10.0,83.333,1.0,8.0,95.0,
10,2010,,,,,,369.851,,803.339,2332.0,0.454,5.242,0.0,0.0,,51000.0,31.0,,77.0,,,,11.0,9.0,81.818,1.0,12.0,85.0,0.285
11,2011,49.1736,42.6357,,,,197.8,,392.0,802.0,,8.73,0.0,0.0,47.3684,23000.0,30.0,16.0,,,,66.0714,9.0,8.0,88.889,1.0,7.0,83.0,0.681
12,2012,48.3471,48.062,,,,176.604,,346.0,799.0,0.176,7.044,0.0,0.0,36.8421,22000.0,30.0,15.0,,,,60.7143,9.0,8.0,88.889,1.0,6.0,97.0,0.749
13,2013,50.4132,48.8372,,,,186.969,,379.0,877.0,0.285,5.695,1.0,0.002,36.8421,21000.0,30.0,17.0,,,,67.8571,9.0,8.0,88.889,1.0,6.0,97.0,0.487
14,2014,,,,,,188.145,,307.0,701.0,0.195,4.868,1.0,0.0,,14000.0,29.0,16.0,,,,,8.0,7.0,87.5,1.0,15.0,92.0,
15,2015,50.0,48.062,,,,166.202,,490.0,650.0,0.119,3.973,0.0,0.0,36.8421,14000.0,29.0,15.0,,,,67.8571,10.0,9.0,90.0,1.0,8.0,98.0,424962.0
16,2016,49.5868,45.7364,,,,123.5,,356.0,440.0,0.011,2.767,0.0,0.0,36.8421,14000.0,25.0,18.0,,,,71.4286,9.0,8.0,88.889,1.0,5.0,80.0,0.423
17,2017,50.8264,48.062,,,,98.25,,160.0,329.0,0.012,1.951,0.0,0.0,36.8421,15000.0,25.0,18.0,,,,71.4286,9.0,8.0,88.889,1.0,5.0,93.0,0.36
18,2018,48.3471,45.7364,,,,89.938,,196.0,542.0,,1.7770000000000001,0.0,0.0,31.5789,16000.0,25.0,20.0,,,,71.4286,9.0,8.0,88.889,1.0,6.0,97.0,0.564
19,2019,,,,,,,,,,,,,,,17000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
