,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.5965,,,,,,,,,,,,,3.3333,12422.0,,,,,,51.7857,20.0,14.0,70.0,1.0,6.0,75.0,
8,2008,17.5439,8.0357,,,,55.728,,,,,,,,3.3333,12167.0,,,,,,51.7857,20.0,14.0,70.0,1.0,8.0,75.0,
9,2009,13.5965,,,,,,,,,,,,,3.3333,12802.0,,,,,,51.7857,17.0,13.0,76.471,1.0,9.0,75.0,
10,2010,13.5965,,,,,,,,,,,,,3.3333,12031.0,,,,,,51.7857,16.0,12.0,75.0,1.0,10.0,75.0,
11,2011,13.5965,,,,,,,,,,,,,3.3333,15666.0,,,,,,51.7857,16.0,12.0,75.0,1.0,11.0,75.0,
12,2012,13.5965,,,,,,,,,,,,,3.3333,14943.0,,,,,,51.7857,15.0,11.0,73.333,1.0,11.0,75.0,
13,2013,16.2281,,,,,,,,,,,,,13.3333,15368.0,,,,,,51.7857,15.0,11.0,73.333,1.0,18.0,75.0,
14,2014,16.2281,,,,,,,,,,,,,13.3333,15782.0,,,,,,51.7857,14.0,11.0,78.571,1.0,13.0,75.0,
15,2015,16.2281,,,,,,,,,,,,,13.3333,17476.0,,,,,,51.7857,16.0,12.0,75.0,1.0,12.0,75.0,
16,2016,15.3509,,,,,,,,,,,,,13.3333,16973.0,,,,,,48.2143,15.0,12.0,80.0,1.0,12.0,75.0,
17,2017,16.2281,,,,,,,,,,,,,13.3333,16794.0,,,,,,51.7857,17.0,14.0,82.353,1.0,15.0,75.0,
18,2018,16.2281,,,,,,,,,,,,,13.3333,17267.0,,,,,,51.7857,18.0,14.0,77.778,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,17773.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
