,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,19.4215,12.4031,,,,,,,,,,,,8.7719,10000.0,,,,,,46.4286,10.0,8.0,80.0,,6.0,75.0,
9,2009,19.4215,12.4031,,,,,,,,,,,,8.7719,10400.0,,,,,,46.4286,9.0,7.0,77.778,,4.0,75.0,
10,2010,33.8843,27.1318,,,,59.926,,184.685,,,,,,17.5439,11200.0,,,,,,66.0714,9.0,7.0,77.78,1.0,4.0,75.0,
11,2011,39.6694,40.3101,,,,61.184,,178.954,,0.544,4.337,0.0,0.0,22.807,12176.0,,,185.0,0.0,,55.3571,9.0,7.0,77.778,1.0,4.0,75.0,
12,2012,,,,,,63.839,,184.898,,0.491,6.501,0.0,0.0,,12400.0,,,179.0,0.0,,,9.0,7.0,77.778,1.0,4.0,75.0,
13,2013,43.3884,40.3101,,,,59.177,,185.475,,0.519,4.473,0.0,0.0,28.0702,12500.0,,,154.0,0.0,,66.0714,9.0,7.0,77.778,1.0,4.0,75.0,
14,2014,,,,,,55.107,,176.4,,0.202,4.39,0.0,0.0,,13100.0,,,134.0,0.0,,,9.0,7.0,77.778,1.0,4.0,75.0,
15,2015,42.1488,40.3101,,,,54.135,,170.95,,0.108,2.6,0.0,0.0,28.0702,13500.0,,,169.0,0.0,,60.7143,9.0,7.0,77.778,1.0,4.0,75.0,
16,2016,43.3884,40.3101,,,,54.173,,171.99,,0.21,4.258,0.0,0.0,28.0702,14200.0,,,165.0,0.0,,66.0714,9.0,7.0,77.778,1.0,4.0,75.0,0.0
17,2017,47.1074,44.9612,,,,57.178,,176.076,,0.143,4.371,0.0,0.0,33.3333,15400.0,31.0,,184.0,0.0,,66.0714,10.0,8.0,80.0,1.0,4.0,75.0,0.0
18,2018,49.5868,47.2868,,,,67.374,,183.683,232.638,0.406,5.464,0.0,0.0,38.5965,16000.0,31.0,,168.0,0.0,,66.0714,9.0,8.0,88.889,1.0,4.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,14850.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
