,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,16.9421,4.6512,,,,,,,,,,,,19.2982,9810.0,,,,,,42.8571,7.0,6.0,85.714,,13.0,75.0,
9,2009,17.7686,4.6512,,,,,,,,,,,,19.2982,8765.0,,,,,,46.4286,7.0,6.0,85.714,,8.0,75.0,
10,2010,19.0083,4.6512,,,,,,,,,,,,19.2982,9200.0,,,,,,51.7857,7.0,6.0,85.714,1.0,16.0,75.0,
11,2011,20.2479,6.9767,,,,,,,,,,,,19.2982,9370.0,,,,,,51.7857,7.0,6.0,85.714,1.0,10.0,72.14,
12,2012,20.2479,6.9767,,,,,,,,,,,,19.2982,9065.0,,,,,,51.7857,7.0,6.0,85.714,1.0,10.0,75.0,
13,2013,21.0744,6.9767,,,,,,,,,,,,22.807,9019.0,,,,,,51.7857,7.0,6.0,85.714,1.0,9.0,75.0,
14,2014,26.0331,16.2791,,,,,,,,,,,,22.807,8812.0,,,,,,51.7857,7.0,6.0,85.714,1.0,11.0,75.0,
15,2015,33.8843,28.6822,18.806,,,,,430.0,2814.0,,,,,22.807,8250.0,,,,,,57.1429,7.0,6.0,85.714,1.0,11.0,75.0,
16,2016,38.4298,34.8837,10.496,,,,,258.0,1561.0,0.431,1.298,,,28.0702,7213.0,,,,,0.241,57.1429,8.0,7.0,87.5,1.0,9.0,75.0,
17,2017,39.6694,34.8837,8.723,,,,,238.0,1342.0,0.326,0.859,,,33.3333,7273.0,40.0,,,,0.317,57.1429,8.0,7.0,87.5,1.0,9.0,75.0,
18,2018,32.6446,21.7054,,,,,,,,,,,,38.5965,7149.0,41.0,8.0,,,,51.7857,8.0,7.0,87.5,1.0,12.0,75.0,
19,2019,24.7934,13.9535,,,,,,,,,,,,22.807,7131.0,,,,,,51.7857,8.0,7.0,87.5,1.0,8.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
