,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8631,,,,,,,,,,,,,3.125,1398.0,,,,,,51.7857,8.0,6.0,75.0,1.0,13.0,75.0,
8,2008,12.8631,,,,,,,,,,,,,3.125,1571.0,,,,,,51.7857,9.0,7.0,77.778,1.0,11.0,75.0,
9,2009,29.0456,19.0083,,,,2454.78,,10107.1,,,,,,28.125,1630.0,,,7.0,0.0,5.128,51.7857,9.0,8.0,88.889,1.0,13.0,75.0,
10,2010,34.0249,23.9669,,,,2607.8,,,,,,,,37.5,1772.0,,,3.0,0.0,6.439,51.7857,9.0,8.0,88.889,1.0,9.0,75.0,
11,2011,38.1743,25.6198,,,,2121.1,,,3089.55,,,,0.078,45.3125,1876.0,,,4.0,0.0,7.789,57.1429,9.0,8.0,88.889,1.0,11.0,75.0,
12,2012,41.9087,33.0579,,,,2140.23,2.396,,3972.99,,,,,45.3125,2190.0,,,7.0,0.0,10.591,57.1429,9.0,8.0,88.889,1.0,12.0,75.0,
13,2013,47.3029,43.8017,,,,2944.17,1.6560000000000001,4399.84,4364.25,,,,0.21,45.3125,2527.0,,,13.0,0.0,13.443,57.1429,10.0,9.0,90.0,1.0,9.0,75.0,
14,2014,46.888,42.9752,,,,2383.86,2.096,5395.93,7214.33,,,,0.639,45.3125,2730.0,,,3.0,0.0,14.919,57.1429,11.0,9.0,81.818,1.0,11.0,75.0,
15,2015,51.0373,46.281,,,,2286.78,2.641,6371.93,9843.14,,,,5.018,54.6875,2397.0,,8.0,5.0,0.0,12.991,57.1429,11.0,10.0,90.909,1.0,17.0,75.0,
16,2016,51.4523,45.4545,,,,2543.12,5.168,6174.43,9455.77,,,,0.474,54.6875,2274.0,,8.0,1.0,0.0,12.402,60.7143,11.0,10.0,90.909,1.0,15.0,75.0,
17,2017,57.6763,56.1983,1908.61,,,2477.11,5.316,7095.23,20114.801,3.371,,,0.194,54.6875,2277.0,,8.0,3.0,0.0,14.811,64.2857,11.0,9.0,81.818,1.0,18.0,73.63,
18,2018,52.6971,48.7603,,,,2313.46,4.646,7042.42,18188.4,104.416,,,0.26,50.0,2331.0,,17.0,3.0,0.0,14.986,64.2857,10.0,8.0,80.0,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,2282.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
