,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,7.8512,,,,,,,,,,,,,,,,,,,,33.9286,7.0,1.0,14.286,3.0,,,
13,2013,9.9174,,,,,,,,,,,,,,,,,,,,42.8571,10.0,3.0,30.0,3.0,5.0,,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,11.0,3.0,27.273,3.0,7.0,74.24,
15,2015,13.6364,,,,,,,,,,,,,7.0175,26500.0,,,,,,51.7857,11.0,6.0,54.546,3.0,5.0,75.0,
16,2016,21.0744,13.9535,,,,,,,,,,,,7.0175,30000.0,,,,,,51.7857,8.0,5.0,62.5,3.0,5.0,75.0,
17,2017,25.6198,13.9535,,,,,,,,,,,,26.3158,31000.0,,,,,,51.7857,9.0,6.0,66.667,3.0,5.0,75.0,
18,2018,24.7934,12.4031,,,,,,,,,,,,26.3158,33200.0,,,,,,51.7857,10.0,7.0,70.0,3.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
