,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,42.6415,24.1379,48930.0,,,,40.053,,,,,0.0,0.0,73.4375,12387.0,22.0,1.0,261.0,1.0,4.26,55.3571,12.0,11.0,91.667,1.0,8.0,91.0,
7,2007,41.5094,24.1379,49870.0,,,,38.65,,8052550.0,,,0.0,0.0,68.75,13326.0,23.0,1.0,259.0,0.0,4.79,55.3571,12.0,11.0,91.667,1.0,6.0,97.0,
8,2008,47.1698,32.4138,46010.0,46142.801,,,31.806,,7978670.0,,,0.0,0.0,73.4375,14458.0,23.0,1.0,206.0,0.0,5.452,55.3571,12.0,11.0,91.667,1.0,7.0,93.0,
9,2009,55.8491,44.8276,46990.0,47120.0,,,27.517,,7389840.0,0.018,1.7,0.0,0.0,76.5625,14570.0,22.0,1.0,209.0,1.0,5.83,60.7143,13.0,12.0,92.308,1.0,6.0,96.0,
10,2010,34.717,23.4483,,51737.0,,,25.024,,,,,,,37.5,14977.0,,,177.0,,4.6,60.7143,13.0,12.0,92.308,1.0,8.0,75.0,
11,2011,30.1887,18.6207,,47517.5,,,17.946,,,,,,,34.375,14800.0,,,138.0,,4.3,55.3571,13.0,12.0,92.308,1.0,6.0,75.0,
12,2012,46.0377,46.2069,,46678.5,0.184,47608.398,19.423,253049.0,5604790.0,,,6.0,0.0,25.0,14400.0,,,,,4.6,69.6429,14.0,12.0,85.714,1.0,6.0,75.0,
13,2013,46.4151,48.9655,,44946.699,0.155,44947.898,15.808,290207.0,6002120.0,,,1.0,0.0,25.0,13400.0,,,,,3.7,64.2857,12.0,11.0,91.667,1.0,6.0,75.0,
14,2014,47.5472,44.1379,49644.0,,,,14.955,207603.0,6670200.0,,,4.0,0.0,37.5,13400.0,,,,0.0,6.0,67.8571,12.0,11.0,91.667,1.0,7.0,75.0,
15,2015,45.6604,40.6897,54495.301,,,,15.615,255762.0,7075260.0,,,4.0,,37.5,13800.0,,,,0.0,4.5,67.8571,13.0,12.0,92.308,1.0,6.0,75.0,
16,2016,44.5283,38.6207,41875.102,,,,11.802,390887.0,,,,2.0,,37.5,14200.0,,,,2.0,4.1,67.8571,12.0,11.0,91.667,1.0,7.0,75.0,
17,2017,39.2453,34.4828,39013.102,,,,11.23,189160.0,,,,,,25.0,13900.0,,,,,,67.8571,12.0,11.0,91.667,1.0,6.0,88.0,
18,2018,43.0189,41.3793,42097.398,,,,9.825,193086.0,,0.222,147.375,,,25.0,14300.0,,,,,,67.8571,13.0,12.0,92.308,1.0,6.0,100.0,
19,2019,,,,,,,,,,,,,,,13900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
