,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,51.6529,40.3101,,,,4351.0,5.2,,,7.786,514408.0,0.0,0.0,57.8947,14996.0,9.9,9.5,,,30.7,71.4286,14.0,12.0,85.714,1.0,9.0,75.0,0.163
6,2006,45.4545,33.3333,,,,3900.0,5.7,,,11.6,705823.0,,,63.1579,14816.0,11.0,10.0,136.0,,26.7,55.3571,12.0,10.0,83.333,1.0,8.0,75.0,
7,2007,61.157,53.4884,,,,3810.0,5.0,13933.3,821823.0,10.5,690711.0,1.0,0.02,68.4211,15228.0,11.0,9.0,128.0,1.0,28.806,71.4286,11.0,10.0,90.909,1.0,13.0,75.0,0.12
8,2008,63.6364,58.1395,,,,4060.0,5.4,14861.1,832567.0,17.9,651951.0,2.0,0.038,68.4211,15154.0,11.0,12.0,112.0,,45.642,71.4286,12.0,11.0,91.667,1.0,8.0,75.0,0.205
9,2009,56.6116,55.814,,,,4170.0,6.5,15505.6,811568.0,19.3,486902.0,3.0,4.97,63.1579,14294.0,11.0,13.0,103.0,,,51.7857,12.0,11.0,91.667,1.0,11.0,75.0,
10,2010,63.6364,58.1395,,,,4600.0,6.0,16116.7,783443.0,28.3,556797.0,4.0,0.101,68.4211,14917.0,11.0,14.0,136.0,,43.92,71.4286,10.0,9.0,90.0,1.0,8.0,75.0,0.244
11,2011,64.876,58.1395,,,,4980.0,6.5,16358.3,754061.0,36.2,613513.0,1.0,0.008,68.4211,16643.0,12.0,13.0,115.0,,92.289,76.7857,12.0,11.0,91.667,1.0,8.0,75.0,0.205
12,2012,65.2893,59.6899,,,,5442.0,6.0,19175.0,780881.0,28.5,705101.0,4.0,0.161,68.4211,16553.0,12.0,13.0,107.0,,72.386,75.0,11.0,10.0,90.909,1.0,10.0,75.0,0.539
13,2013,67.7686,62.0155,,,,5750.0,6.9,20691.699,785326.0,63.6,741824.0,2.0,0.104,73.6842,15069.0,11.0,10.0,188.0,,56.677,75.0,10.0,9.0,90.0,1.0,10.0,75.0,0.087
14,2014,68.595,63.5659,,,,5300.0,6.4,19222.199,663049.0,38.9,552788.0,4.0,0.12,73.6842,13700.0,11.0,16.0,99.0,1.0,27.97,75.0,9.0,8.0,88.889,1.0,15.0,75.0,0.237
15,2015,68.595,63.5659,,,,5500.0,7.1,17083.301,688772.0,40.0,476086.0,4.0,0.401,73.6842,13027.0,11.0,15.0,82.0,2.0,28.6,75.0,10.0,9.0,90.0,1.0,9.0,75.0,0.111
16,2016,70.2479,65.1163,,,,4300.0,5.5,13125.0,429112.0,12.0,432747.0,6.0,1.709,77.193,10804.0,14.8,16.27,91.0,0.0,15.7,75.0,10.0,9.0,90.0,1.0,10.0,75.0,0.183
17,2017,68.1818,62.7907,,,,4700.0,6.9,13500.0,514707.0,12.2,456950.0,4.0,0.074,73.6842,12569.0,15.4,17.4,104.0,0.0,13.91,75.0,12.0,11.0,91.667,1.0,8.0,75.0,0.068
18,2018,66.9421,62.7907,,,,4690.0,6.19,15000.0,501955.0,18.4,411885.0,2.0,0.094,68.4211,12442.0,15.7,19.49,118.0,1.0,2.953,75.0,12.0,11.0,91.667,1.0,10.0,75.0,0.187
19,2019,,,,,,,,,,,,,,,16600.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
