,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,19.6226,11.0345,,,,25715.699,,,349031.0,,,,,10.9375,7439.0,,,,,,51.7857,13.0,10.0,76.923,1.0,10.0,80.0,
7,2007,18.8679,11.0345,,,,26869.1,,,335024.0,,,,,7.8125,7607.0,,,,,,51.7857,13.0,12.0,92.308,1.0,7.0,77.0,
8,2008,25.283,19.3103,,,,26602.0,,,380830.0,,,,,15.625,7981.0,,,,,,51.7857,11.0,10.0,90.909,1.0,10.0,91.0,
9,2009,34.3396,35.1724,16621.4,,,21984.6,,44990.602,398622.0,,,,,15.625,7616.0,,,,,,53.5714,11.0,10.0,90.909,1.0,5.0,89.0,
10,2010,26.7925,17.931,,,,,,,373303.0,,,,,15.625,7604.0,,,,,,62.5,11.0,10.0,90.909,1.0,6.0,82.0,
11,2011,34.717,26.2069,,,,22105.199,,,406560.0,0.32,9.798,,,25.0,7957.0,,,,,,67.8571,11.0,10.0,90.909,1.0,5.0,84.0,
12,2012,39.2453,28.2759,,,,20881.1,,,329187.0,0.358,7.128,,,43.75,8286.0,24.0,14.0,,,,62.5,12.0,11.0,91.667,1.0,5.0,81.0,
13,2013,36.6038,31.7241,,,,19453.5,,,346835.0,0.657,9.589,,,25.0,8477.0,,,,,,62.5,11.0,10.0,90.909,1.0,5.0,80.0,
14,2014,38.4906,31.7241,,,,19741.0,,,344812.0,0.235,21.75,,,25.0,8982.0,,,,,,71.4286,11.0,10.0,90.909,1.0,14.0,93.0,
15,2015,43.3962,29.6552,,,,12405.0,,,335349.0,0.082,5.378,,,54.6875,7596.0,26.0,,,0.0,3.1,66.0714,8.0,7.0,87.5,1.0,9.0,86.0,
16,2016,46.7925,35.8621,10846.2,10901.9,,12476.4,,,380789.0,0.023,7.338,,,54.6875,7987.0,28.0,,,0.0,4.3,66.0714,9.0,8.0,88.889,1.0,9.0,93.0,
17,2017,44.9057,30.3448,,,,12097.9,,,356197.0,0.024,10.36,,,54.6875,8304.0,27.99,,,0.0,5.0,71.4286,11.0,10.0,90.909,1.0,8.0,75.0,0.0
18,2018,44.9057,30.3448,,,,12624.5,,,106447.0,0.458,16.705,,,59.375,8201.0,28.465,25.0,,0.0,21.8,66.0714,11.0,10.0,90.909,1.0,10.0,90.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
