,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,36.3636,19.7917,,,,,,,,,,,,35.0877,28000.0,48.0,40.0,626.0,0.0,54.0,66.0714,12.0,10.0,83.333,1.0,5.0,75.0,
7,2007,44.0191,19.7917,,,,,,,,,,,,63.1579,32499.0,50.0,40.0,576.0,0.0,51.3,66.0714,12.0,9.0,75.0,1.0,5.0,75.0,
8,2008,44.0191,19.7917,,,,,,,,,,,,63.1579,32800.0,50.0,40.0,603.0,0.0,58.6,66.0714,12.0,9.0,75.0,1.0,5.0,75.0,
9,2009,55.0239,43.75,,,,70.0,,187.138,,,,,,63.1579,34400.0,48.0,36.0,266.0,0.0,58.9,66.0714,12.0,9.0,75.0,1.0,6.0,75.0,
10,2010,57.4163,46.875,,,,72.55,,181.663,,,,,,63.1579,34359.0,50.0,41.0,273.0,0.0,49.3,69.6429,13.0,10.0,76.923,1.0,6.0,75.0,
11,2011,53.5885,48.9583,,,,84.7,,4231.94,1230.26,,,,,49.1228,38000.0,50.0,40.4,,,51.0,66.0714,14.0,11.0,78.571,1.0,5.0,74.64,
12,2012,50.7177,42.7083,,,,110.7,,4421.67,,,,,,49.1228,44000.0,50.0,41.0,,0.0,42.8,66.0714,12.0,9.0,75.0,1.0,5.0,75.0,
13,2013,57.8947,58.3333,10.1,110.7,0.29,146.86,,382.0,725.0,,,,,54.386,48000.0,48.0,35.0,,0.0,,60.7143,12.0,9.0,75.0,1.0,5.0,75.0,
14,2014,51.6746,47.9167,,,,148.0,,399.0,585.0,,,,,49.1228,56500.0,49.0,33.0,,,,60.7143,13.0,10.0,76.923,1.0,5.0,74.23,
15,2015,56.9378,59.375,17.31,184.51,0.473,185.34,,389.68,723.29,,,,,49.1228,62600.0,48.0,36.0,,,,60.7143,14.0,11.0,78.571,1.0,5.0,73.92,
16,2016,62.6794,62.5,21.0,194.05,0.439,194.9,,442.24,,,122.943,,,59.6491,62781.0,48.0,28.0,,,,66.0714,13.0,9.0,69.231,1.0,5.0,75.0,
17,2017,56.9378,53.125,,,,315.895,,701.082,,,131.398,,,54.386,74400.0,48.0,29.0,,,1.4,66.0714,12.0,9.0,75.0,1.0,5.0,75.0,0.14
18,2018,56.9378,53.125,,,,301.045,,813.703,,,137.225,,,49.1228,73100.0,49.0,36.0,,,,71.4286,12.0,9.0,75.0,1.0,5.0,75.0,0.285
19,2019,,,,,,,,,,,,,,,76700.0,,,,,,,13.0,10.0,76.923,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
