,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,51.2397,49.6124,5.844,178.776,0.492,179.734,,363.462,691.467,,,,,38.5965,17648.0,,,74.0,,16.78,67.8571,10.0,9.0,90.0,1.0,7.0,75.0,0.0
9,2009,50.0,49.6124,6.398,172.136,0.498,173.062,,345.499,176.858,,,,,38.5965,17400.0,,,57.0,,20.032,62.5,10.0,8.0,80.0,1.0,8.0,75.0,
10,2010,54.9587,49.6124,5.718,173.09,0.382,174.017,,452.714,230.965,,,,,54.386,17400.0,26.9,25.6,50.0,,22232000.0,67.8571,11.0,9.0,81.818,1.0,7.0,75.0,0.0
11,2011,52.4793,49.6124,5.505,171.148,0.361,172.081,,474.191,228.863,,,,,54.386,18600.0,27.6,26.4,66.0,,24.445,57.1429,11.0,9.0,81.818,1.0,11.0,75.0,
12,2012,53.719,49.6124,5.33,164.533,0.392,165.42,,420.239,239.138,,,,,54.386,20500.0,27.6,25.6,49.0,,24.125,62.5,10.0,9.0,90.0,1.0,8.0,75.0,
13,2013,48.7603,42.6357,,,,165.34,,313.7,405.0,,1.303,,,54.386,21500.0,27.8,27.0,81.0,,27.736,57.1429,8.0,7.0,87.5,1.0,10.0,75.0,
14,2014,47.1074,37.2093,,,,160.5,,310.4,803.0,,,,,54.386,20786.0,27.46,27.0,,,29.151,62.5,9.0,8.0,88.889,1.0,12.0,75.0,
15,2015,56.6116,45.7364,,,,120.1,,307.66,774.0,,1.105,0.0,0.0,75.4386,19636.0,27.0,25.0,33.0,0.0,30.267,62.5,9.0,8.0,88.889,1.0,17.0,75.0,
16,2016,52.8926,48.062,,,,107.0,,379.435,442.0,,1.158,0.0,0.0,54.386,11430.0,27.0,14.4,,,25.251,62.5,10.0,9.0,90.0,1.0,17.0,75.0,
17,2017,54.1322,50.3876,2.565,,,124.819,,221.501,439.0,,1.192,0.0,0.0,54.386,13209.0,26.0,12.9,,,23.426,62.5,11.0,10.0,90.909,1.0,14.0,75.0,
18,2018,45.8678,37.2093,,,,76.0,,364.628,408.0,,0.857,0.0,0.0,49.1228,12718.0,25.0,,,,23.153,62.5,11.0,10.0,90.909,1.0,10.0,75.0,
19,2019,45.8678,37.2093,,,,64.0,,329.387,381.0,,0.982,0.0,0.0,54.386,12665.0,25.0,15.0,,,24.541,57.1429,13.0,12.0,92.308,1.0,24.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
